# t,rho,B,strain,J
0.000000000000000000e+00,8.041431478429769686e-02,9.999558718436443172e-01,5.217973126971558800e-05,8.658877480592049869e-01
2.999999999999999889e-02,8.082340347186496576e-02,9.999108544111734442e-01,1.033066748566149027e-04,8.652040570720126444e-01
5.999999999999999778e-02,8.122733985800209555e-02,9.998649649874258305e-01,1.533979290589814891e-04,8.645282679236990786e-01
8.999999999999999667e-02,8.162619644284847820e-02,9.998182205864925010e-01,2.024700585933123897e-04,8.638602630190721499e-01
1.199999999999999956e-01,8.202004446101315849e-02,9.997706379593512827e-01,2.505391136393609773e-04,8.631999270627945808e-01
1.499999999999999944e-01,8.240895391034373796e-02,9.997222336012379085e-01,2.976206482421702966e-04,8.625471470036452093e-01
1.799999999999999933e-01,8.279299357986433239e-02,9.996730237587648782e-01,3.437297380952808326e-04,8.619018119804556788e-01
2.099999999999999922e-01,8.317223107691185113e-02,9.996230239728699507e-01,3.889153732185855251e-04,8.612638132696641691e-01
2.399999999999999911e-01,8.354673285283953366e-02,9.995722498168662096e-01,4.331719245768939314e-04,8.606330438350047185e-01
2.700000000000000178e-01,8.391656422902253609e-02,9.995207166981832092e-01,4.765084880400716791e-04,8.600093989097735703e-01
2.999999999999999889e-01,8.428178942184602618e-02,9.994684398017840143e-01,5.189383951625459526e-04,8.593927757715020821e-01
3.299999999999999600e-01,8.464247156690672680e-02,9.994154340961423078e-01,5.604745795920318538e-04,8.587830736411333765e-01
3.599999999999999867e-01,8.499867274254198357e-02,9.993617143390087776e-01,6.011295914938529720e-04,8.581801936378011808e-01
3.900000000000000133e-01,8.535045399270922706e-02,9.993072950829841039e-01,6.409156114999562878e-04,8.575840387349041860e-01
4.199999999999999845e-01,8.569787534923768713e-02,9.992521906808942145e-01,6.798444641995106223e-04,8.569945137174340699e-01
4.499999999999999556e-01,8.604099585347334267e-02,9.991964152909830199e-01,7.179276311873320415e-04,8.564115251405085560e-01
4.799999999999999822e-01,8.637987357733735438e-02,9.991399828819211848e-01,7.551762636854942104e-04,8.558349812890713171e-01
5.100000000000000089e-01,8.671456564381728460e-02,9.990829072376439246e-01,7.916011947530773385e-04,8.552647921387149799e-01
5.400000000000000355e-01,8.704512824690985306e-02,9.990252019620164958e-01,8.272129510982287326e-04,8.547008693175928151e-01
