# t,rho,B,strain,J
0.000000000000000000e+00,8.141431478429768387e-02,9.999553230891556899e-01,5.282821190150056769e-05,8.658877480592049869e-01
2.999999999999999889e-02,8.282467877503900400e-02,9.999091992575778187e-01,1.052349381342415033e-04,8.636476166075744976e-01
5.999999999999999778e-02,8.423111029396652960e-02,9.998616371686477322e-01,1.572203012341583475e-04,8.614181582466851061e-01
8.999999999999999667e-02,8.563362753770403790e-02,9.998126454802731544e-01,2.087840861027681161e-04,8.591992991457122475e-01
1.199999999999999956e-01,8.703224857896235678e-02,9.997622328492145050e-01,2.599257525388930061e-04,8.569909661909757004e-01
1.499999999999999944e-01,8.842699136773671253e-02,9.997104079352474582e-01,3.106444475042776689e-04,8.547930869809509113e-01
1.799999999999999933e-01,8.981787373249550122e-02,9.996571794051597459e-01,3.609390171299259038e-04,8.526055898212023809e-01
2.099999999999999922e-01,9.120491338136040016e-02,9.996025553849339218e-01,4.108488948370847549e-04,8.504284037192384460e-01
2.399999999999999911e-01,9.258812790250517399e-02,9.995465443878576162e-01,4.603447631934291448e-04,8.482614579111621422e-01
2.700000000000000178e-01,9.396753476584845943e-02,9.994891549667302977e-01,5.094230537777521672e-04,8.461046826459051040e-01
2.999999999999999889e-01,9.534315132424002470e-02,9.994303956926600119e-01,5.580817635471716550e-04,8.439580088784389700e-01
3.299999999999999600e-01,9.671499481460323067e-02,9.993702751582969057e-01,6.063186444940089469e-04,8.418213682433716150e-01
3.599999999999999867e-01,9.808308235906829098e-02,9.993088019809267530e-01,6.541312141004917459e-04,8.396946930495100547e-01
3.900000000000000133e-01,9.944743096609638677e-02,9.992459848054254801e-01,7.015167655743528375e-04,8.375779162743766104e-01
4.199999999999999845e-01,1.008080575315943167e-01,9.991818323070733587e-01,7.484723778705947581e-04,8.354709715586817742e-01
4.499999999999999556e-01,1.021649788400198766e-01,9.991163531942384157e-01,7.949949255042290663e-04,8.333737932007514448e-01
4.799999999999999822e-01,1.035182115654776913e-01,9.990495562109256156e-01,8.410810881588640315e-04,8.312863161509200793e-01
5.100000000000000089e-01,1.048677722728056233e-01,9.989814501391990342e-01,8.867273600957654035e-04,8.292084760058872073e-01
5.400000000000000355e-01,1.062136774186515364e-01,9.989120438014763570e-01,9.319300593677519017e-04,8.271402090030431919e-01
5.699999999999999512e-01,1.075559433525405395e-01,9.988413460627022511e-01,9.766853368423458227e-04,8.250814520147669029e-01
5.999999999999999778e-01,1.088945863179325291e-01,9.987693658323983925e-01,1.020989185038229888e-03,8.230321425426988524e-01
6.300000000000000044e-01,1.102296224532700875e-01,9.986961120665966973e-01,1.064837446779061999e-03,8.209922187119912396e-01
6.599999999999999201e-01,1.115610677930166383e-01,9.986215937696567568e-01,1.108225823668505805e-03,8.189616192655394533e-01
6.899999999999999467e-01,1.128889382686849158e-01,9.985458199959676984e-01,1.151149884390175208e-03,8.169402835581974776e-01
7.199999999999999734e-01,1.142132497098556632e-01,9.984687998515419105e-01,1.193605072836115537e-03,8.149281515509761986e-01
7.500000000000000000e-01,1.155340178451865207e-01,9.983905424954981900e-01,1.235586716067356124e-03,8.129251638052344964e-01
7.800000000000000266e-01,1.168512583034111985e-01,9.983110571414386403e-01,1.277090032109760853e-03,8.109312614768576788e-01
8.099999999999999423e-01,1.181649866143287958e-01,9.982303530587213203e-01,1.318110137588574590e-03,8.089463863104313646e-01
8.399999999999999689e-01,1.194752182097833376e-01,9.981484395736313076e-01,1.358642055204692129e-03,8.069704806334082603e-01
8.699999999999999956e-01,1.207819684246335262e-01,9.980653260704505092e-01,1.398680721055738357e-03,8.050034873502751598e-01
8.999999999999999112e-01,1.220852524977126680e-01,9.979810219924324377e-01,1.438220991804858764e-03,8.030453499367159464e-01
9.299999999999999378e-01,1.233850855727788159e-01,9.978955347881608429e-01,1.477410100882163482e-03,8.010960124337805910e-01
9.599999999999999645e-01,1.246814826967402867e-01,9.978088712366115498e-01,1.516297064954451757e-03,7.991554177967120642e-01
9.899999999999999911e-01,1.259744588196557991e-01,9.977210406434761092e-01,1.554693731848437541e-03,7.972235089702557342e-01
1.020000000000000018e+00,1.272640287989409702e-01,9.976320523742355784e-01,1.592594886508175807e-03,7.953002314380090976e-01
1.050000000000000044e+00,1.285502074002808359e-01,9.975419158547570442e-01,1.629995262552600939e-03,7.933855312264723736e-01
1.080000000000000071e+00,1.298330092985326423e-01,9.974506405717988855e-01,1.666889548449978966e-03,7.914793548993005468e-01
1.109999999999999876e+00,1.311124490786189922e-01,9.973582360734407626e-01,1.703272393559991920e-03,7.895816495515610711e-01
1.139999999999999902e+00,1.323885412364114722e-01,9.972647119694293405e-01,1.739138414045605192e-03,7.876923628040113368e-01
1.169999999999999929e+00,1.336613001796046196e-01,9.971700779314446317e-01,1.774482198657069713e-03,7.858114427973886817e-01
1.199999999999999956e+00,1.349307402285803703e-01,9.970743419424724641e-01,1.809428316104487499e-03,7.839388381867148370e-01
1.229999999999999982e+00,1.361968756149970761e-01,9.969775073176263547e-01,1.844322658196894575e-03,7.820744967623319832e-01
1.260000000000000009e+00,1.374597204765533598e-01,9.968795834993319227e-01,1.878709718320203340e-03,7.802183631315118273e-01
1.290000000000000036e+00,1.387192888657345358e-01,9.967805799915080422e-01,1.912584113534396887e-03,7.783703871920945039e-01
1.319999999999999840e+00,1.399755947506431120e-01,9.966805063595849390e-01,1.945940452084148715e-03,7.765305193360126923e-01
1.349999999999999867e+00,1.412286520158201886e-01,9.965793659430539631e-01,1.979240386757182002e-03,7.746987104437544902e-01
1.379999999999999893e+00,1.424784744550119386e-01,9.964771635573128616e-01,2.012373788666216995e-03,7.728749070027947088e-01
1.409999999999999920e+00,1.437250757738707807e-01,9.963739076066836509e-01,2.045073455348375875e-03,7.710590571277187166e-01
1.439999999999999947e+00,1.449684695953131486e-01,9.962695952785090014e-01,2.078172077853902670e-03,7.692511121706987476e-01
1.469999999999999973e+00,1.462086694459874825e-01,9.961642255377007871e-01,2.111537452201473018e-03,7.674510152736381263e-01
1.500000000000000000e+00,1.474456887594080001e-01,9.960577772989817058e-01,2.146659484940834865e-03,7.656587114671562500e-01
1.530000000000000027e+00,1.486795408514272332e-01,9.959502256396536302e-01,2.183824339839066618e-03,7.638741309066284790e-01
1.560000000000000053e+00,1.499102389165123117e-01,9.958415601479458923e-01,2.221954520393727619e-03,7.620972014777815939e-01
1.589999999999999858e+00,1.511377960471879944e-01,9.957317812657698886e-01,2.260243497343372536e-03,7.603278628367677872e-01
1.619999999999999885e+00,1.523622252486223350e-01,9.956208836706185172e-01,2.299119530953716399e-03,7.585660634683761838e-01
1.649999999999999911e+00,1.535835394321749259e-01,9.955088730043595291e-01,2.337767446449564527e-03,7.568117479377826085e-01
1.679999999999999938e+00,1.548017514299692976e-01,9.953957517033998892e-01,2.376425002580895719e-03,7.550648696316155650e-01
1.709999999999999964e+00,1.560168739915775982e-01,9.952815162024755136e-01,2.415538099192646344e-03,7.533253799186112598e-01
1.739999999999999991e+00,1.572289197772672176e-01,9.951661721059880117e-01,2.454424729187884742e-03,7.515932260655254771e-01
1.770000000000000018e+00,1.584379013702013062e-01,9.950497251263726861e-01,2.493076266456480897e-03,7.498683627236342186e-01
1.799999999999999822e+00,1.596438312772371915e-01,9.949321810846232239e-01,2.531484037450667211e-03,7.481507450197169007e-01
1.829999999999999849e+00,1.608467219297166628e-01,9.948135459107509959e-01,2.569639325567129977e-03,7.464403285511392871e-01
1.859999999999999876e+00,1.620465856842479013e-01,9.946938155186743069e-01,2.608286685855775409e-03,7.447370693809539643e-01
1.889999999999999902e+00,1.632434348109989553e-01,9.945729947789793135e-01,2.646759686201507339e-03,7.430409164692199919e-01
1.919999999999999929e+00,1.644372815054814529e-01,9.944510897105256486e-01,2.684972331589417262e-03,7.413518259081739448e-01
1.949999999999999956e+00,1.656281378905982982e-01,9.943281064486356735e-01,2.722915333749410718e-03,7.396697550229311968e-01
1.979999999999999982e+00,1.668160160174024798e-01,9.942040512453023116e-01,2.760579379508983251e-03,7.379946615906003426e-01
2.009999999999999787e+00,1.680009278658478322e-01,9.940789304693364858e-01,2.797955135048344876e-03,7.363265038354485092e-01
2.040000000000000036e+00,1.691828853455317194e-01,9.939527506064574913e-01,2.835033250104845946e-03,7.346652404240873180e-01
2.069999999999999840e+00,1.703619002964296414e-01,9.938255182593286330e-01,2.871804362127237855e-03,7.330108304606812730e-01
2.100000000000000089e+00,1.715379844896218753e-01,9.936972401475323569e-01,2.908259100380196620e-03,7.313632334821793535e-01
2.129999999999999893e+00,1.727111496280121228e-01,9.935679231074943107e-01,2.944388089999288444e-03,7.297224094535673666e-01
2.160000000000000142e+00,1.738814073470382748e-01,9.934375711806250342e-01,2.980398786936689845e-03,7.280883187631455034e-01
2.189999999999999947e+00,1.750487692118619931e-01,9.933061850455869868e-01,3.016541116820505714e-03,7.264609200885991935e-01
2.219999999999999751e+00,1.762132467139122805e-01,9.931737717601052395e-01,3.052339644600239772e-03,7.248401700051005925e-01
2.250000000000000000e+00,1.773748512791795129e-01,9.930403385031552066e-01,3.087784637717607555e-03,7.232260301065153163e-01
2.279999999999999805e+00,1.785335942689018629e-01,9.929058925746027109e-01,3.122866379699784384e-03,7.216184623955210764e-01
2.310000000000000053e+00,1.796894869802437011e-01,9.927704413947946449e-01,3.157575174087881402e-03,7.200174292789375263e-01
2.339999999999999858e+00,1.808425406469663377e-01,9.926339925040945644e-01,3.191901348316560083e-03,7.184228935630823099e-01
2.370000000000000107e+00,1.819927664400909917e-01,9.924965535623672119e-01,3.225835257545156456e-03,7.168348184491492026e-01
2.399999999999999911e+00,1.831401754685539895e-01,9.923581323484109706e-01,3.259367288440232630e-03,7.152531675286105672e-01
2.429999999999999716e+00,1.842847787798544135e-01,9.922187367593409135e-01,3.292487862909845766e-03,7.136779047786436792e-01
2.459999999999999964e+00,1.854265873606940618e-01,9.920783748099223365e-01,3.325187441789507169e-03,7.121089945575812541e-01
2.489999999999999769e+00,1.865656121376097765e-01,9.919370546318526660e-01,3.357456528480020578e-03,7.105464016003879557e-01
2.520000000000000018e+00,1.877018639775983599e-01,9.917947844729979590e-01,3.389285672537206608e-03,7.089900910141585522e-01
2.549999999999999822e+00,1.888353536887339146e-01,9.916515726965812183e-01,3.420665473213603536e-03,7.074400282736431622e-01
2.580000000000000071e+00,1.899660920207776604e-01,9.915074277803208602e-01,3.451586582952156142e-03,7.058961792167981475e-01
2.609999999999999876e+00,1.910940896657805088e-01,9.913623583155274366e-01,3.482039710832054817e-03,7.043585100403584320e-01
2.639999999999999680e+00,1.922193572586781418e-01,9.912163730061518407e-01,3.512015625966549703e-03,7.028269872954389097e-01
2.669999999999999929e+00,1.933419053778787922e-01,9.910694806677886604e-01,3.541505160853015283e-03,7.013015778831604985e-01
2.699999999999999734e+00,1.944617445458437788e-01,9.909216902266380078e-01,3.570499214675016027e-03,6.997822490502986215e-01
2.729999999999999982e+00,1.955788852296607150e-01,9.907730107184209434e-01,3.598988756556579984e-03,6.982689683849625517e-01
2.759999999999999787e+00,1.966933378416096667e-01,9.906234512872540421e-01,3.626964828768611780e-03,6.967617038122958517e-01
2.790000000000000036e+00,1.978051127397220110e-01,9.904730211844814391e-01,3.654418549887352655e-03,6.952604235902062335e-01
2.819999999999999840e+00,1.989142202283323002e-01,9.903217297674657971e-01,3.681341117904992494e-03,6.937650963051185116e-01
2.850000000000000089e+00,2.000206705586229927e-01,9.901695839620845430e-01,3.707913125418423224e-03,6.922756908677561993e-01
2.879999999999999893e+00,2.011244739262426640e-01,9.900165858286911202e-01,3.734497040708657616e-03,6.907921747395299183e-01
2.909999999999999698e+00,2.022256404661578744e-01,9.898627447482404307e-01,3.760545893990523223e-03,6.893145122557133853e-01
2.939999999999999947e+00,2.033241802615406157e-01,9.897080702008679287e-01,3.786051372780595801e-03,6.878426731312986542e-01
2.969999999999999751e+00,2.044201033442857862e-01,9.895525717645570207e-01,3.811005253684619874e-03,6.863766273892331071e-01
3.000000000000000000e+00,2.055134196955218373e-01,9.893962565683963595e-01,3.835589521659546648e-03,6.849163453563777981e-01
3.029999999999999805e+00,2.066041392432135804e-01,9.892391311785502239e-01,3.859845459742242309e-03,6.834617959011809463e-01
3.060000000000000053e+00,2.076922718619401143e-01,9.890812054663633557e-01,3.883525416190801525e-03,6.820129477517122840e-01
3.089999999999999858e+00,2.087778273770679871e-01,9.889224893977101027e-01,3.906621375695027917e-03,6.805697721593999550e-01
3.120000000000000107e+00,2.098608155652372520e-01,9.887629930314183468e-01,3.929125430316668041e-03,6.791322406649252796e-01
3.149999999999999911e+00,2.109412461548410278e-01,9.886027265176633438e-01,3.951029782021994903e-03,6.777003250942532642e-01
3.179999999999999716e+00,2.120191288264983986e-01,9.884417000963263700e-01,3.972326745164775352e-03,6.762739975546928628e-01
3.209999999999999964e+00,2.130944732135207631e-01,9.882799240953253905e-01,3.993008748919743209e-03,6.748532304309852181e-01
3.239999999999999769e+00,2.141672889023716608e-01,9.881174089289114226e-01,4.013068339666582898e-03,6.734379963814186576e-01
3.270000000000000018e+00,2.152375854331202987e-01,9.879541650959382526e-01,4.032498183324286986e-03,6.720282683339737773e-01
3.299999999999999822e+00,2.163053722998884432e-01,9.877901928261568765e-01,4.052065564940073548e-03,6.706240194824951706e-01
3.330000000000000071e+00,2.173706589397191025e-01,9.876254952767073991e-01,4.071551120044225938e-03,6.692252162694779516e-01
3.359999999999999876e+00,2.184334547363002421e-01,9.874600828112409800e-01,4.090415040897745283e-03,6.678318273880556877e-01
3.389999999999999680e+00,2.194937690284110288e-01,9.872939658714315891e-01,4.108650477888699248e-03,6.664438266444409065e-01
3.419999999999999929e+00,2.205516111103469346e-01,9.871271549752250740e-01,4.126250703266384073e-03,6.650611880975911827e-01
3.449999999999999734e+00,2.216069902323387908e-01,9.869596607150595835e-01,4.143209113099103127e-03,6.636838860555808184e-01
3.479999999999999982e+00,2.226599156009657632e-01,9.867914937560634536e-01,4.159519229184927523e-03,6.623118950719980580e-01
3.509999999999999787e+00,2.237103963795624983e-01,9.866226455316450261e-01,4.176621016140557793e-03,6.609451899423716137e-01
3.540000000000000036e+00,2.247584416673281127e-01,9.864531220338808026e-01,4.193423767416839219e-03,6.595837327963300911e-01
3.569999999999999840e+00,2.258040605158804226e-01,9.862829337084131343e-01,4.209592986802723584e-03,6.582274957893562428e-01
3.599999999999999645e+00,2.268472619345151542e-01,9.861120874223370247e-01,4.225396045900498866e-03,6.568764542591402078e-01
3.629999999999999893e+00,2.278880548865952205e-01,9.859405686642329636e-01,4.242435777005703831e-03,6.555305813504718193e-01
3.659999999999999698e+00,2.289264482664948586e-01,9.857683876229600406e-01,4.258859884463303200e-03,6.541898362298280700e-01
3.689999999999999947e+00,2.299624509271615824e-01,9.855955222210830424e-01,4.277089525030889836e-03,6.528541947604132867e-01
3.719999999999999751e+00,2.309960716452288121e-01,9.854219567585680295e-01,4.296647948746039856e-03,6.515236116570438663e-01
3.750000000000000000e+00,2.320273191285984749e-01,9.852476434581760589e-01,4.319946827498211302e-03,6.501980462216984114e-01
3.779999999999999805e+00,2.330562019821498521e-01,9.850725310945283031e-01,4.347249501254808572e-03,6.488774369663723451e-01
3.810000000000000053e+00,2.340827287048913574e-01,9.848965884810889637e-01,4.377053029359189232e-03,6.475617206656322233e-01
3.839999999999999858e+00,2.351069077125733930e-01,9.847197913932271840e-01,4.408835745039206382e-03,6.462508477872256352e-01
3.869999999999999662e+00,2.361287473459137698e-01,9.845421418265913882e-01,4.440626771779527908e-03,6.449447737749413045e-01
3.899999999999999911e+00,2.371482558995044732e-01,9.843636170829259679e-01,4.474282643394489160e-03,6.436434715836187870e-01
3.929999999999999716e+00,2.381654415955736792e-01,9.841842249910828233e-01,4.507509534777134723e-03,6.423468982612847711e-01
3.959999999999999964e+00,2.391803126173912830e-01,9.840039734977568120e-01,4.540297802650528070e-03,6.410550310938197827e-01
3.989999999999999769e+00,2.401928771096780435e-01,9.838228489572212743e-01,4.574270667126336884e-03,6.397678476108391576e-01
4.019999999999999574e+00,2.412031431557629668e-01,9.836408544940671295e-01,4.608167388617130482e-03,6.384853114937425467e-01
4.049999999999999822e+00,2.422111187960013234e-01,9.834579982805244924e-01,4.641607783776985005e-03,6.372073975796345158e-01
4.080000000000000071e+00,2.432168120334805561e-01,9.832742886102729951e-01,4.674581906301783323e-03,6.359340841590948035e-01
4.109999999999999432e+00,2.442202308344170181e-01,9.830897338972928168e-01,4.707079883579217902e-03,6.346653497590768467e-01
4.139999999999999680e+00,2.452213831285476875e-01,9.829043426746894019e-01,4.739091919026988155e-03,6.334011731399215028e-01
4.169999999999999929e+00,2.462202768095169969e-01,9.827181035719844138e-01,4.772115061340708071e-03,6.321415332923909780e-01
4.200000000000000178e+00,2.472169197140504093e-01,9.825310235460449348e-01,4.804770461149505609e-03,6.308863965812925301e-01
4.229999999999999538e+00,2.482113196417823631e-01,9.823431114422745969e-01,4.836915226544395881e-03,6.296357413821034310e-01
4.259999999999999787e+00,2.492034843575157421e-01,9.821543762267090916e-01,4.868539406632781119e-03,6.283895474356963051e-01
4.290000000000000036e+00,2.501934215915946891e-01,9.819648269846552591e-01,4.899633140039735477e-03,6.271477947050366764e-01
4.320000000000000284e+00,2.511811390402723942e-01,9.817744729193023101e-01,4.930186657275461085e-03,6.259104633722374356e-01
4.349999999999999645e+00,2.521666443660739443e-01,9.815833233502990751e-01,4.960190283078490074e-03,6.246775338356325147e-01
4.379999999999999893e+00,2.531499451981543691e-01,9.813913877123046081e-01,4.989634438734327250e-03,6.234489867068637725e-01
4.410000000000000142e+00,2.541310491326518872e-01,9.811986755535084814e-01,5.018509644368831721e-03,6.222248028079853110e-01
4.439999999999999503e+00,2.551099637330361825e-01,9.810051965341207714e-01,5.046806521216223862e-03,6.210049631685836680e-01
4.469999999999999751e+00,2.560866965304520182e-01,9.808109604248353985e-01,5.074515793860904893e-03,6.197894490229132192e-01
4.500000000000000000e+00,2.570612550240581884e-01,9.806159771052648244e-01,5.101628292452900851e-03,6.185782418070479016e-01
4.530000000000000249e+00,2.580336466813613616e-01,9.804202437003481929e-01,5.129104340137621842e-03,6.173713231560506998e-01
4.559999999999999609e+00,2.590038789252079865e-01,9.802237676197875782e-01,5.156168661606803233e-03,6.161686668177245307e-01
4.589999999999999858e+00,2.599719591447658407e-01,9.800265591084752481e-01,5.182606725277914307e-03,6.149702531905392178e-01
4.620000000000000107e+00,2.609378946986903869e-01,9.798286285179058641e-01,5.208409487692352430e-03,6.137760645882565091e-01
4.649999999999999467e+00,2.619016929154430184e-01,9.796299863044088951e-01,5.233568026553532884e-03,6.125860835141673233e-01
4.679999999999999716e+00,2.628633610936044196e-01,9.794306430273493902e-01,5.258073542881351245e-03,6.114002926582817743e-01
4.709999999999999964e+00,2.638229065021835407e-01,9.792306093473044371e-01,5.281917363135085926e-03,6.102186748945318540e-01
4.740000000000000213e+00,2.647803363809218546e-01,9.790298960242125315e-01,5.305090941304183190e-03,6.090412132779919885e-01
4.769999999999999574e+00,2.657356579405927843e-01,9.788285139154992986e-01,5.327585860966484003e-03,6.078678910421149162e-01
4.799999999999999822e+00,2.666888783632968551e-01,9.786264739741756813e-01,5.349393837313582215e-03,6.066986915959852178e-01
4.830000000000000071e+00,2.676400048027520739e-01,9.784237872469138120e-01,5.370506719142742469e-03,6.055335985215883898e-01
4.859999999999999432e+00,2.685890443845798670e-01,9.782204648720973506e-01,5.390916490815122857e-03,6.043725955710963493e-01
4.889999999999999680e+00,2.695360042065865214e-01,9.780165180778510603e-01,5.410615274179733300e-03,6.032156666641703691e-01
4.919999999999999929e+00,2.704808913390400749e-01,9.778119581800426285e-01,5.429595330462893762e-03,6.020627958852808881e-01
4.950000000000000178e+00,2.714237128249427644e-01,9.776067965802678339e-01,5.447849062122716961e-03,6.009139674810421994e-01
4.979999999999999538e+00,2.723644756802992561e-01,9.774010447638079579e-01,5.465369014668255629e-03,5.997691658575667883e-01
5.009999999999999787e+00,2.733031868943802123e-01,9.771947109397185471e-01,5.482401149806906925e-03,5.986283755778335491e-01
5.040000000000000036e+00,2.742398534265940713e-01,9.769877923656766772e-01,5.499770702519632057e-03,5.974915793059654145e-01
5.069999999999999396e+00,2.751744821956613740e-01,9.767803004276661705e-01,5.516411660329552033e-03,5.963587531418781396e-01
5.099999999999999645e+00,2.761070800941188286e-01,9.765722465867827662e-01,5.532317205113580771e-03,5.952298819713226496e-01
5.129999999999999893e+00,2.770376539885672229e-01,9.763636423771965278e-01,5.547480662670269819e-03,5.941049508274877100e-01
5.160000000000000142e+00,2.779662107199153409e-01,9.761544994040967094e-01,5.561895504225236077e-03,5.929839448885068087e-01
5.189999999999999503e+00,2.788927571036194930e-01,9.759448293416209674e-01,5.575555347900967851e-03,5.918668494749832476e-01
5.219999999999999751e+00,2.798172999299192720e-01,9.757346439307645891e-01,5.588453960150903399e-03,5.907536500475339958e-01
5.250000000000000000e+00,2.807398459640690347e-01,9.755239549772799501e-01,5.600585257157500094e-03,5.896443322043483093e-01
5.279999999999999361e+00,2.816604019465654973e-01,9.753127743495519919e-01,5.611943306193958522e-03,5.885388816787684441e-01
5.309999999999999609e+00,2.825789745933709463e-01,9.751011139764678148e-01,5.622522326949404639e-03,5.874372843368820263e-01
5.339999999999999858e+00,2.834955705961331174e-01,9.748889858452656210e-01,5.632316692817296647e-03,5.863395261751395138e-01
5.370000000000000107e+00,2.844101966224004685e-01,9.746763918830836371e-01,5.642086731901535188e-03,5.852455933179834258e-01
5.399999999999999467e+00,2.853228593058300122e-01,9.744633269276803400e-01,5.652368752451944998e-03,5.841554659524761384e-01
5.429999999999999716e+00,2.862335652394272789e-01,9.742498027358234003e-01,5.661881746423706382e-03,5.830691201650559652e-01
5.459999999999999964e+00,2.871423209925191289e-01,9.740358311163717087e-01,5.670620565594501269e-03,5.819865423242269742e-01
5.490000000000000213e+00,2.880491331109578113e-01,9.738214239281930418e-01,5.678580211228554525e-03,5.809077189195938073e-01
5.519999999999999574e+00,2.889540081173212482e-01,9.736065930780707367e-01,5.685755835105971157e-03,5.798326365596369047e-01
5.549999999999999822e+00,2.898569525111098222e-01,9.733913320548761572e-01,5.693544225693407575e-03,5.787612819695049371e-01
