r,x_stable,x_saddle
-0.35,nan,nan
-0.3472945891783567,nan,nan
-0.3445891783567134,nan,nan
-0.3418837675350701,nan,nan
-0.33917835671342683,nan,nan
-0.33647294589178356,nan,nan
-0.33376753507014023,nan,nan
-0.33106212424849696,nan,nan
-0.3283567134268537,nan,nan
-0.3256513026052104,nan,nan
-0.3229458917835671,nan,nan
-0.3202404809619238,nan,nan
-0.31753507014028054,nan,nan
-0.31482965931863727,nan,nan
-0.31212424849699394,nan,nan
-0.30941883767535067,nan,nan
-0.3067134268537074,nan,nan
-0.3040080160320641,nan,nan
-0.3013026052104208,nan,nan
-0.2985971943887775,nan,nan
-0.29589178356713425,nan,nan
-0.293186372745491,nan,nan
-0.29048096192384765,nan,nan
-0.2877755511022044,nan,nan
-0.2850701402805611,nan,nan
-0.2823647294589178,nan,nan
-0.2796593186372745,nan,nan
-0.27695390781563123,nan,nan
-0.27424849699398796,nan,nan
-0.2715430861723447,nan,nan
-0.26883767535070136,nan,nan
-0.2661322645290581,nan,nan
-0.2634268537074148,nan,nan
-0.2607214428857715,nan,nan
-0.2580160320641282,nan,nan
-0.25531062124248494,nan,nan
-0.25260521042084166,nan,nan
-0.24989979959919836,nan,nan
-0.24719438877755506,nan,nan
-0.2444889779559118,nan,nan
-0.24178356713426852,nan,nan
-0.23907815631262522,nan,nan
-0.23637274549098192,nan,nan
-0.23366733466933864,nan,nan
-0.23096192384769537,nan,nan
-0.22825651302605207,nan,nan
-0.22555110220440877,nan,nan
-0.2228456913827655,nan,nan
-0.2201402805611222,nan,nan
-0.21743486973947893,nan,nan
-0.21472945891783562,nan,nan
-0.21202404809619235,nan,nan
-0.20931863727454905,nan,nan
-0.20661322645290578,nan,nan
-0.20390781563126248,nan,nan
-0.2012024048096192,nan,nan
-0.1984969939879759,nan,nan
-0.19579158316633263,nan,nan
-0.19308617234468933,nan,nan
-0.19038076152304606,nan,nan
-0.18767535070140276,nan,nan
-0.1849699398797595,nan,nan
-0.1822645290581162,nan,nan
-0.17955911823647291,nan,nan
-0.17685370741482961,nan,nan
-0.1741482965931863,nan,nan
-0.17144288577154304,nan,nan
-0.16873747494989974,nan,nan
-0.16603206412825647,nan,nan
-0.16332665330661317,nan,nan
-0.1606212424849699,nan,nan
-0.1579158316633266,nan,nan
-0.15521042084168332,nan,nan
-0.15250501002004002,nan,nan
-0.14979959919839675,nan,nan
-0.14709418837675345,nan,nan
-0.14438877755511018,nan,nan
-0.14168336673346688,nan,nan
-0.1389779559118236,nan,nan
-0.1362725450901803,nan,nan
-0.13356713426853703,nan,nan
-0.13086172344689373,nan,nan
-0.12815631262525046,nan,nan
-0.12545090180360716,nan,nan
-0.12274549098196388,nan,nan
-0.12004008016032058,nan,nan
-0.11733466933867731,nan,nan
-0.11462925851703401,nan,nan
-0.11192384769539074,nan,nan
