retained_bits,uniform_preimage_entropy_bits,uniform_exact_recovery_bound,nonuniform_exact_recovery_bound
0,16,1.52587890625e-05,0.1
1,15,3.0517578125e-05,0.1076280750136522
2,14,6.103515625e-05,0.12478368883769646
3,13,0.0001220703125,0.1493765893668973
4,12,0.000244140625,0.18052244259586492
5,11,0.00048828125,0.21766951476979496
6,10,0.0009765625,0.26042501214864056
7,9,0.001953125,0.30848826883399033
8,8,0.00390625,0.3616181878357947
9,7,0.0078125,0.4196150500806233
10,6,0.015625,0.48230938139936563
11,5,0.03125,0.5495546766944063
12,4,0.0625,0.621222402212846
13,3,0.125,0.6971984256015122
14,2,0.25,0.7773803838902866
15,1,0.5,0.8616756916249096
16,0,1.0,1.0
