t,capacity_bits,overload_bits,H_no_log,H_partial_log,H_full_log
0,14.0,2.0,2.0,0.0,0.0
1,14.0,2.0,2.0,0.0,0.0
2,14.0,2.0,2.0,0.0,0.0
3,14.0,2.0,2.0,0.0,0.0
4,14.0,2.0,2.0,0.0,0.0
5,14.0,2.0,2.0,0.0,0.0
6,14.0,2.0,2.0,0.0,0.0
7,14.0,2.0,2.0,0.0,0.0
8,14.0,2.0,2.0,0.0,0.0
9,14.0,2.0,2.0,0.0,0.0
10,14.0,2.0,2.0,0.0,0.0
11,14.0,2.0,2.0,0.0,0.0
12,14.0,2.0,2.0,0.0,0.0
13,14.0,2.0,2.0,0.0,0.0
14,14.0,2.0,2.0,0.0,0.0
15,14.0,2.0,2.0,0.0,0.0
16,14.0,2.0,2.0,0.0,0.0
17,14.0,2.0,2.0,0.0,0.0
18,14.0,2.0,2.0,0.0,0.0
19,14.0,2.0,2.0,0.0,0.0
20,14.0,2.0,2.0,0.0,0.0
21,14.0,2.0,2.0,0.0,0.0
22,14.0,2.0,2.0,0.0,0.0
23,14.0,2.0,2.0,0.0,0.0
24,14.0,2.0,2.0,0.0,0.0
25,14.0,2.0,2.0,0.0,0.0
26,14.0,2.0,2.0,0.0,0.0
27,14.0,2.0,2.0,0.0,0.0
28,14.0,2.0,2.0,0.0,0.0
29,14.0,2.0,2.0,0.0,0.0
30,14.0,2.0,2.0,0.0,0.0
31,14.0,2.0,2.0,0.0,0.0
32,14.0,2.0,2.0,0.0,0.0
33,14.0,2.0,2.0,0.0,0.0
34,14.0,2.0,2.0,0.0,0.0
35,6.0,10.0,10.0,6.0,0.0
36,6.0,10.0,10.0,6.0,0.0
37,6.0,10.0,10.0,6.0,0.0
38,6.0,10.0,10.0,6.0,0.0
39,6.0,10.0,10.0,6.0,0.0
40,6.0,10.0,10.0,6.0,0.0
41,6.0,10.0,10.0,6.0,0.0
42,6.0,10.0,10.0,6.0,0.0
43,6.0,10.0,10.0,6.0,0.0
44,6.0,10.0,10.0,6.0,0.0
45,6.0,10.0,10.0,6.0,0.0
46,6.0,10.0,10.0,6.0,0.0
47,6.0,10.0,10.0,6.0,0.0
48,6.0,10.0,10.0,6.0,0.0
49,6.0,10.0,10.0,6.0,0.0
50,6.0,10.0,10.0,6.0,0.0
51,6.0,10.0,10.0,6.0,0.0
52,6.0,10.0,10.0,6.0,0.0
53,6.0,10.0,10.0,6.0,0.0
54,6.0,10.0,10.0,6.0,0.0
55,6.0,10.0,10.0,6.0,0.0
56,6.0,10.0,10.0,6.0,0.0
57,6.0,10.0,10.0,6.0,0.0
58,6.0,10.0,10.0,6.0,0.0
59,6.0,10.0,10.0,6.0,0.0
60,6.0,10.0,10.0,6.0,0.0
61,6.0,10.0,10.0,6.0,0.0
62,6.0,10.0,10.0,6.0,0.0
63,6.0,10.0,10.0,6.0,0.0
64,6.0,10.0,10.0,6.0,0.0
65,6.0,10.0,10.0,6.0,0.0
66,6.0,10.0,10.0,6.0,0.0
67,6.0,10.0,10.0,6.0,0.0
68,6.0,10.0,10.0,6.0,0.0
69,6.0,10.0,10.0,6.0,0.0
70,6.0,10.0,10.0,6.0,0.0
71,6.0,10.0,10.0,6.0,0.0
72,6.0,10.0,10.0,6.0,0.0
73,6.0,10.0,10.0,6.0,0.0
74,6.0,10.0,10.0,6.0,0.0
75,14.0,2.0,10.0,6.0,0.0
76,14.0,2.0,10.0,6.0,0.0
77,14.0,2.0,10.0,6.0,0.0
78,14.0,2.0,10.0,6.0,0.0
79,14.0,2.0,10.0,6.0,0.0
80,14.0,2.0,10.0,6.0,0.0
81,14.0,2.0,10.0,6.0,0.0
82,14.0,2.0,10.0,6.0,0.0
83,14.0,2.0,10.0,6.0,0.0
84,14.0,2.0,10.0,6.0,0.0
85,14.0,2.0,10.0,6.0,0.0
86,14.0,2.0,10.0,6.0,0.0
87,14.0,2.0,10.0,6.0,0.0
88,14.0,2.0,10.0,6.0,0.0
89,14.0,2.0,10.0,6.0,0.0
90,14.0,2.0,10.0,6.0,0.0
91,14.0,2.0,10.0,6.0,0.0
92,14.0,2.0,10.0,6.0,0.0
93,14.0,2.0,10.0,6.0,0.0
94,14.0,2.0,10.0,6.0,0.0
95,14.0,2.0,10.0,6.0,0.0
96,14.0,2.0,10.0,6.0,0.0
97,14.0,2.0,10.0,6.0,0.0
98,14.0,2.0,10.0,6.0,0.0
99,14.0,2.0,10.0,6.0,0.0
100,14.0,2.0,10.0,6.0,0.0
101,14.0,2.0,10.0,6.0,0.0
102,14.0,2.0,10.0,6.0,0.0
103,14.0,2.0,10.0,6.0,0.0
104,14.0,2.0,10.0,6.0,0.0
105,14.0,2.0,10.0,6.0,0.0
106,14.0,2.0,10.0,6.0,0.0
107,14.0,2.0,10.0,6.0,0.0
108,14.0,2.0,10.0,6.0,0.0
109,14.0,2.0,10.0,6.0,0.0
110,14.0,2.0,10.0,6.0,0.0
111,14.0,2.0,10.0,6.0,0.0
112,14.0,2.0,10.0,6.0,0.0
113,14.0,2.0,10.0,6.0,0.0
114,14.0,2.0,10.0,6.0,0.0
115,14.0,2.0,10.0,6.0,0.0
116,14.0,2.0,10.0,6.0,0.0
117,14.0,2.0,10.0,6.0,0.0
118,14.0,2.0,10.0,6.0,0.0
119,14.0,2.0,10.0,6.0,0.0
