lag,hidden_dimensions,kernel_norm,rho
0,1,0.18,0.72
1,1,0.1296,0.72
2,1,0.09331199999999999,0.72
3,1,0.06718463999999999,0.72
4,1,0.04837294079999999,0.72
5,1,0.03482851737599999,0.72
6,1,0.025076532510719993,0.72
7,1,0.018055103407718393,0.72
8,1,0.012999674453557243,0.72
9,1,0.009359765606561215,0.72
10,1,0.006739031236724075,0.72
11,1,0.004852102490441334,0.72
12,1,0.0034935137931177604,0.72
13,1,0.002515329931044787,0.72
14,1,0.0018110375503522466,0.72
15,1,0.0013039470362536175,0.72
16,1,0.0009388418661026045,0.72
17,1,0.0006759661435938752,0.72
18,1,0.0004866956233875902,0.72
19,1,0.0003504208488390649,0.72
20,1,0.0002523030111641267,0.72
21,1,0.00018165816803817126,0.72
22,1,0.0001307938809874833,0.72
23,1,9.417159431098797e-05,0.72
24,1,6.780354790391133e-05,0.72
25,1,4.8818554490816156e-05,0.72
26,1,3.514935923338763e-05,0.72
27,1,2.5307538648039092e-05,0.72
28,1,1.822142782658815e-05,0.72
29,1,1.3119428035143465e-05,0.72
30,1,9.445988185303295e-06,0.72
31,1,6.8011114934183725e-06,0.72
32,1,4.896800275261227e-06,0.72
33,1,3.5256961981880836e-06,0.72
34,1,2.53850126269542e-06,0.72
35,1,1.8277209091407024e-06,0.72
36,1,1.315959054581306e-06,0.72
37,1,9.474905192985401e-07,0.72
38,1,6.821931738949489e-07,0.72
39,1,4.911790852043632e-07,0.72
40,1,3.5364894134714144e-07,0.72
41,1,2.546272377699418e-07,0.72
42,1,1.833316111943581e-07,0.72
43,1,1.3199876005993784e-07,0.72
44,1,9.503910724315525e-08,0.72
45,1,6.842815721507177e-08,0.72
46,1,4.926827319485168e-08,0.72
47,1,3.5473156700293204e-08,0.72
48,1,2.5540672824211105e-08,0.72
49,1,1.8389284433431995e-08,0.72
50,1,1.3240284792071035e-08,0.72
51,1,9.533005050291145e-09,0.72
52,1,6.863763636209625e-09,0.72
53,1,4.94190981807093e-09,0.72
54,1,3.5581750690110687e-09,0.72
55,1,2.56188604968797e-09,0.72
56,1,1.8445579557753383e-09,0.72
57,1,1.3280817281582434e-09,0.72
58,1,9.562188442739351e-10,0.72
59,1,6.884775678772333e-10,0.72
0,2,0.36,0.745
1,2,0.2682,0.745
2,2,0.199809,0.745
3,2,0.14885770499999998,0.745
4,2,0.110898990225,0.745
5,2,0.082619747717625,0.745
6,2,0.06155171204963062,0.745
7,2,0.04585602547697481,0.745
