subset,num_operations,closure_loss,closure_score,coverage_tokens,coverage_detect,coverage_update,coverage_geometry
none,0,4.25,0.0,0.0,0.0,0.0,0.0
conn,1,2.55028,0.3375,0.22,1.0,0.07,0.06
geom,1,2.66389,0.305,0.07,0.1,0.05,1.0
enc,1,2.77514,0.29750000000000004,1.0,0.12,0.03,0.04
id,1,2.8770249999999997,0.295,0.05,0.08,1.0,0.05
conn+geom,2,1.32891,0.6025,0.29000000000000004,1.0,0.12000000000000001,1.0
enc+geom,2,1.4548,0.575,1.0,0.22,0.08,1.0
conn+id,2,1.497105,0.595,0.27,1.0,1.0,0.11
id+geom,2,1.5242400000000003,0.575,0.12000000000000001,0.18,1.0,1.0
enc+id,2,1.5923150000000001,0.5725,1.0,0.2,1.0,0.09
enc+conn,2,1.7415,0.55,1.0,1.0,0.1,0.1
conn+id+geom,3,0.4791599999999999,0.835,0.34,1.0,1.0,1.0
enc+id+geom,3,0.48999999999999994,0.825,1.0,0.30000000000000004,1.0,1.0
enc+conn+geom,3,0.7224999999999999,0.7875,1.0,1.0,0.15000000000000002,1.0
enc+conn+id,3,0.8308749999999998,0.7875,1.0,1.0,1.0,0.15000000000000002
enc+conn+id+geom,4,0.0,1.0,1.0,1.0,1.0,1.0
