N,fermion_diversity_p1,p2_diversity,p4_diversity,boson_diversity_toy,ambiguity_cost_p2,ambiguity_cost_p4,verification_error_p2,verification_error_p4
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1.0,1.0,1.0554517744447955,1.0,2.0,0.0,0.0
2,2,1.0,1.0,1.0878889830934488,2.0,4.0,0.05823546641575128,0.05823546641575128
3,3,2.0,1.0,1.1109035488895913,3.0,6.0,0.05823546641575128,0.11307956328284252
4,4,2.0,1.0,1.128755032994728,4.0,8.0,0.11307956328284252,0.164729788588728
5,5,3.0,2.0,1.1433407575382444,5.0,10.0,0.11307956328284252,0.164729788588728
6,6,3.0,2.0,1.155672811924425,6.0,12.0,0.164729788588728,0.21337213893344653
7,7,4.0,2.0,1.1663553233343869,7.0,14.0,0.164729788588728,0.2591817793182821
8,8,4.0,2.0,1.1757779661868977,8.0,16.0,0.21337213893344653,0.302323673928969
9,9,5.0,3.0,1.1842068074395238,9.0,18.0,0.21337213893344653,0.302323673928969
10,10,5.0,3.0,1.1918316218238696,10.0,20.0,0.2591817793182821,0.34295318018494325
11,11,6.0,3.0,1.19879253198304,11.0,22.0,0.2591817793182821,0.38121660819385916
12,12,6.0,3.0,1.205195948596923,12.0,24.0,0.302323673928969,0.41725174762601036
13,13,7.0,4.0,1.2111245863692206,13.0,26.0,0.302323673928969,0.41725174762601036
14,14,7.0,4.0,1.2166440160881768,14.0,28.0,0.34295318018494325,0.4511883639059736
15,15,8.0,4.0,1.2218070977791826,15.0,30.0,0.34295318018494325,0.4831486655083007
16,16,8.0,4.0,1.2266570675244972,16.0,32.0,0.38121660819385916,0.5132477440400283
17,17,9.0,5.0,1.2312297406316932,17.0,34.0,0.38121660819385916,0.5132477440400283
18,18,9.0,5.0,1.2355551183333153,18.0,36.0,0.41725174762601036,0.5415939886947765
19,18,10.0,5.0,1.2396585818843193,19.0,38.0,0.41725174762601036,0.5682894765709203
20,18,10.0,5.0,1.243561795017874,20.0,40.0,0.4511883639059736,0.5934303402594008
21,18,11.0,6.0,1.2472833962686654,21.0,42.0,0.4511883639059736,0.5934303402594008
22,18,11.0,6.0,1.250839537274332,22.0,44.0,0.4831486655083007,0.6171071140248879
23,18,12.0,6.0,1.2542443064278357,23.0,46.0,0.4831486655083007,0.6394050598269216
24,18,12.0,6.0,1.257510065989456,24.0,48.0,0.5132477440400283,0.6604044743550609
25,18,13.0,7.0,1.2606477230417186,25.0,50.0,0.5132477440400283,0.6604044743550609
26,18,13.0,7.0,1.2636669492803463,26.0,52.0,0.5415939886947765,0.680180978183696
27,18,14.0,7.0,1.2665763608140164,27.0,54.0,0.5415939886947765,0.6988057880877978
28,18,14.0,7.0,1.269383666398918,28.0,56.0,0.5682894765709203,0.7163459735002295
29,18,15.0,8.0,1.2720957905329724,29.0,58.0,0.5682894765709203,0.7163459735002295
30,18,15.0,8.0,1.2747189763588116,30.0,60.0,0.5934303402594008,0.7328646980341496
31,18,16.0,8.0,1.2772588722239782,31.0,62.0,0.5934303402594008,0.7484214469402435
32,18,16.0,8.0,1.2797206049173184,32.0,64.0,0.6171071140248879,0.7630722413178782
33,18,17.0,9.0,1.282108841969293,33.0,66.0,0.6171071140248879,0.7630722413178782
34,18,17.0,9.0,1.284427844919153,34.0,68.0,0.6394050598269216,0.7768698398515702
35,18,18.0,9.0,1.2866815150764888,35.0,70.0,0.6394050598269216,0.7898639287992353
36,18,18.0,9.0,1.288873433011538,36.0,72.0,0.6604044743550609,0.8021013009163853
37,18,18.0,10.0,1.2910068927781109,37.0,74.0,0.680180978183696,0.8021013009163853
38,18,18.0,10.0,1.2930849316903716,38.0,76.0,0.6988057880877978,0.81362602396059
39,18,18.0,10.0,1.2951103563291149,39.0,78.0,0.7163459735002295,0.8244795993830032
40,18,18.0,10.0,1.2970857653363446,40.0,80.0,0.7328646980341496,0.8347011117784134
