N,E_fermion,E_no_exclusion,E_supercollapse
1,-1.0,-0.08,-0.02
2,-2.0,-0.25398416831491194,-0.08
3,-3.0,-0.49922011753245704,-0.18
4,-4.0,-0.8063494719327189,-0.32
5,-5.0,-1.1696070952851465,-0.5
6,-6.0,-1.5849250794694212,-0.72
7,-7.0,-2.0492111976128644,-0.98
8,-8.0,-2.5600000000000005,-1.28
9,-9.0,-3.1152590718640027,-1.62
10,-10.0,-3.7132710668902242,-2.0
11,-11.0,-4.352556950058857,-2.42
12,-12.0,-5.031823476881082,-2.88
13,-13.0,-5.7499258062260274,-3.38
14,-14.0,-6.50584002159135,-3.92
15,-15.0,-7.298642394688081,-4.5
16,-16.0,-8.127493386077184,-5.12
17,-17.0,-8.991625065102808,-5.78
18,-18.0,-9.89033105566079,-6.48
19,-19.0,-10.822958385531033,-7.22
20,-20.0,-11.78890079564924,-8.0
21,-21.0,-12.787593186514014,-8.82
22,-22.0,-13.818506962549858,-9.68
23,-23.0,-14.881146094325723,-10.58
24,-24.0,-15.975043761038629,-11.52
25,-25.0,-17.099759466766976,-12.5
26,-26.0,-18.254876547084592,-13.52
27,-27.0,-19.440000000000005,-14.58
28,-28.0,-20.65475458842185,-15.68
29,-29.0,-21.89878317155028,-16.82
30,-30.0,-23.17174523053512,-18.0
31,-31.0,-24.473315559983064,-19.22
32,-32.0,-25.803183101847008,-20.48
33,-33.0,-27.161049902188694,-21.78
34,-34.0,-28.546630174495654,-23.12
35,-35.0,-29.959649455822234,-24.5
36,-36.0,-31.399843844139383,-25.92
37,-37.0,-32.86695930701689,-27.38
38,-38.0,-34.36075105320002,-28.88
39,-39.0,-35.88098295983832,-30.42
40,-40.0,-37.427427049124695,-32.0
41,-41.0,-38.99986300894244,-33.62
42,-42.0,-40.59807775282746,-35.28
43,-43.0,-42.22186501515384,-36.980000000000004
44,-44.0,-43.871024977963074,-38.72
45,-45.0,-45.54536392629448,-40.5
46,-46.0,-47.24469392925023,-42.32
47,-47.0,-48.96883254435147,-44.18
48,-48.0,-50.71760254302148,-46.08
49,-49.0,-52.49083165527437,-48.02
50,-50.0,-54.28835233189815,-50.0
51,-51.0,-56.110001522605124,-52.02
52,-52.0,-57.95562046878338,-54.08
53,-53.0,-59.82505450962409,-56.18
54,-54.0,-61.71815290052361,-58.32
55,-55.0,-63.63476864276897,-60.5
56,-56.0,-65.57475832361168,-62.72
57,-57.0,-67.53798196592118,-64.98
58,-58.0,-69.52430288668485,-67.28
59,-59.0,-71.53358756368971,-69.62
60,-60.0,-73.56570550978113,-72.0
61,-61.0,-75.62052915414819,-74.42
62,-62.0,-77.69793373013364,-76.88
63,-63.0,-79.79779716910967,-79.38
64,-64.0,-81.92000000000002,-81.92
65,-65.0,-84.06442525406412,-84.5
66,-66.0,-86.23095837459019,-87.12
67,-67.0,-88.4194871311738,-89.78
68,-68.0,-90.62990153828311,-92.48
69,-69.0,-92.86209377783689,-95.22
70,-70.0,-95.11595812554143,-98.0
71,-71.0,-97.3913908807528,-100.82000000000001
72,-72.0,-99.6882902996481,-103.68
73,-73.0,-102.0065565315058,-106.58
74,-74.0,-104.34609155790925,-109.52
75,-75.0,-106.70679913470192,-112.5
76,-76.0,-109.08858473653424,-115.52
77,-77.0,-111.49135550385385,-118.58
78,-78.0,-113.91502019220077,-121.68
79,-79.0,-116.3594891236795,-124.82000000000001
80,-80.0,-118.82467414048719,-128.0
81,-81.0,-121.3104885603871,-131.22
82,-82.0,-123.81684713402181,-134.48
83,-83.0,-126.34366600396932,-137.78
84,-84.0,-128.89086266545013,-141.12
85,-85.0,-131.45835592860016,-144.5
86,-86.0,-134.04606588222904,-147.92000000000002
87,-87.0,-136.65391385898906,-151.38
88,-88.0,-139.28182240188346,-154.88
89,-89.0,-141.92971523204886,-158.42000000000002
90,-90.0,-144.59751721774867,-162.0
91,-91.0,-147.2851543445194,-165.62
92,-92.0,-149.99255368641485,-169.28
93,-93.0,-152.71964337829567,-172.98
94,-94.0,-155.46635258911624,-176.72
95,-95.0,-158.23261149616215,-180.5
96,-96.0,-161.01835126019466,-184.32
97,-97.0,-163.82350400146186,-188.18
98,-98.0,-166.64800277653643,-192.08
99,-99.0,-169.4917815559446,-196.02
100,-100.0,-172.35477520255077,-200.0
101,-101.0,-175.2369194506647,-204.02
102,-102.0,-178.13815088584133,-208.08
103,-103.0,-181.05840692534244,-212.18
104,-104.0,-183.99762579923294,-216.32
105,-105.0,-186.95574653208485,-220.5
106,-106.0,-189.9327089252643,-224.72
107,-107.0,-192.9284535397772,-228.98000000000002
108,-108.0,-195.94292167965077,-233.28
109,-109.0,-198.9760553758302,-237.62
110,-110.0,-202.02779737056892,-242.0
111,-111.0,-205.09809110229318,-246.42000000000002
112,-112.0,-208.18688069092326,-250.88
113,-113.0,-211.2941109236319,-255.38
114,-114.0,-214.4197272410251,-259.92
115,-115.0,-217.56367572372764,-264.5
116,-116.0,-220.72590307935855,-269.12
117,-117.0,-223.90635662988217,-273.78000000000003
118,-118.0,-227.1049842993207,-278.48
119,-119.0,-230.32173460181465,-283.22
120,-120.0,-233.55655663001863,-288.0
121,-121.0,-236.8094000438208,-292.82
122,-122.0,-240.08021505937347,-297.68
123,-123.0,-243.3689524384246,-302.58
124,-124.0,-246.6755634779392,-307.52
125,-125.0,-250.00000000000009,-312.5
126,-126.0,-253.34221434197937,-317.52
127,-127.0,-256.7021593469701,-322.58
128,-128.0,-260.0797883544699,-327.68
129,-129.0,-263.47505519130794,-332.82
130,-130.0,-266.8879141628069,-338.0
131,-131.0,-270.3183200441723,-343.22
132,-132.0,-273.766228072101,-348.48
133,-133.0,-277.231593936603,-353.78000000000003
134,-134.0,-280.71437377302794,-359.12
135,-135.0,-284.2145241542907,-364.5
136,-136.0,-287.7320020832899,-369.92
137,-137.0,-291.2667649855119,-375.38
138,-138.0,-294.81877070181577,-380.88
139,-139.0,-298.3879774813928,-386.42
140,-140.0,-301.97434397489536,-392.0
141,-141.0,-305.57782922772935,-397.62
142,-142.0,-309.1983926735062,-403.28000000000003
143,-143.0,-312.83599412764846,-408.98
144,-144.0,-316.4905937811453,-414.72
145,-145.0,-320.16215219445223,-420.5
146,-146.0,-323.85063029153184,-426.32
147,-147.0,-327.5559893540311,-432.18
148,-148.0,-331.27819101559044,-438.08
149,-149.0,-335.0171972562816,-444.02
150,-150.0,-338.77297039717035,-450.0
151,-151.0,-342.54547309500015,-456.02
152,-152.0,-346.33466833699316,-462.08
153,-153.0,-350.1405194357659,-468.18
154,-154.0,-353.9629900243562,-474.32
155,-155.0,-357.8020440513571,-480.5
156,-156.0,-361.6576457761564,-486.72
157,-157.0,-365.52975976427797,-492.98
158,-158.0,-369.4183508828222,-499.28000000000003
159,-159.0,-373.32338429600236,-505.62
160,-160.0,-377.24482546077576,-512.0
161,-161.0,-381.18264012256515,-518.42
162,-162.0,-385.1367943110694,-524.88
163,-163.0,-389.1072543361604,-531.38
164,-164.0,-393.09398678386395,-537.92
165,-165.0,-397.09695851242293,-544.5
166,-166.0,-401.1161366484395,-551.12
167,-167.0,-405.15148858309556,-557.78
168,-168.0,-409.2029819684485,-564.48
169,-169.0,-413.2705847138005,-571.22
170,-170.0,-417.35426498213974,-578.0
171,-171.0,-421.45399118665165,-584.82
172,-172.0,-425.5697319872979,-591.6800000000001
173,-173.0,-429.7014562874626,-598.58
174,-174.0,-433.8491332306619,-605.52
175,-175.0,-438.0127321973183,-612.5
176,-176.0,-442.1922228015955,-619.52
177,-177.0,-446.38757488829356,-626.58
178,-178.0,-450.59875852980275,-633.6800000000001
179,-179.0,-454.82574402311457,-640.82
180,-180.0,-459.0685018868882,-648.0
181,-181.0,-463.32700285857203,-655.22
182,-182.0,-467.60121789157756,-662.48
183,-183.0,-471.8911181525056,-669.78
184,-184.0,-476.1966750184232,-677.12
185,-185.0,-480.5178600741893,-684.5
186,-186.0,-484.8546451098297,-691.92
187,-187.0,-489.2070021179581,-699.38
188,-188.0,-493.57490329124437,-706.88
189,-189.0,-497.9583210199262,-714.42
190,-190.0,-502.3572278893664,-722.0
191,-191.0,-506.77159667765216,-729.62
192,-192.0,-511.2014003532362,-737.28
193,-193.0,-515.6466120726195,-744.98
194,-194.0,-520.1072051780742,-752.72
195,-195.0,-524.5831531954043,-760.5
196,-196.0,-529.0744298317467,-768.32
197,-197.0,-533.5810089734086,-776.1800000000001
198,-198.0,-538.1028646837416,-784.08
199,-199.0,-542.6399712010514,-792.02
200,-200.0,-547.1923029365433,-800.0
201,-201.0,-551.7598344723019,-808.02
202,-202.0,-556.3425405593035,-816.08
203,-203.0,-560.9403961154625,-824.1800000000001
204,-204.0,-565.5533762237087,-832.32
205,-205.0,-570.1814561300976,-840.5
206,-206.0,-574.8246112419499,-848.72
207,-207.0,-579.4828171260223,-856.98
208,-208.0,-584.156049506707,-865.28
209,-209.0,-588.8442842642611,-873.62
210,-210.0,-593.5474974330631,-882.0
211,-211.0,-598.265665199898,-890.4200000000001
212,-212.0,-602.9987639022688,-898.88
213,-213.0,-607.7467700267358,-907.38
214,-214.0,-612.5096602072804,-915.9200000000001
215,-215.0,-617.2874112236954,-924.5
216,-216.0,-622.0800000000003,-933.12
217,-217.0,-626.8874036028805,-941.78
218,-218.0,-631.7095992401512,-950.48
219,-219.0,-636.5465642592443,-959.22
220,-220.0,-641.3982761457187,-968.0
221,-221.0,-646.2647125217927,-976.82
222,-222.0,-651.1458511448998,-985.6800000000001
223,-223.0,-656.041669906264,-994.58
224,-224.0,-660.9521468294992,-1003.52
225,-225.0,-665.8772600692272,-1012.5
226,-226.0,-670.8169879097175,-1021.52
227,-227.0,-675.771308763546,-1030.58
228,-228.0,-680.7402011702754,-1039.68
229,-229.0,-685.7236437951526,-1048.82
230,-230.0,-690.721615427827,-1058.0
231,-231.0,-695.7340949810858,-1067.22
232,-232.0,-700.7610614896091,-1076.48
233,-233.0,-705.8024941087418,-1085.78
234,-234.0,-710.8583721132835,-1095.1200000000001
235,-235.0,-715.9286748962959,-1104.5
236,-236.0,-721.0133819679263,-1113.92
237,-237.0,-726.1124729542491,-1123.38
238,-238.0,-731.2259275961221,-1132.88
239,-239.0,-736.3537257480602,-1142.42
240,-240.0,-741.495847377124,-1152.0
241,-241.0,-746.6522725618235,-1161.6200000000001
242,-242.0,-751.8229814910387,-1171.28
