states,no_form_compression,strict_symmetry_orbits,equivariant_representation,covariant_tensor_rule,structured_quotient_proxy
4,16,1.0,14.4,108,4.0
5,25,4.0,20.89735285398626,115,9.0
6,36,4.0,27.917595007788485,122,9.0
7,49,4.0,35.37267201792581,129,9.0
8,64,4.0,43.2,136,9.0
9,81,9.0,51.352785023365456,143,9.0
10,100,9.0,59.794705707972525,150,16.0
11,121,9.0,68.49674604901848,157,16.0
12,144,9.0,77.43519001557698,164,16.0
13,169,16.0,86.59028940450155,171,16.0
14,196,16.0,95.94534403585162,178,16.0
15,225,16.0,105.48604608143002,185,16.0
16,256,16.0,115.2,192,16.0
17,289,25.0,125.07636294226039,199,25.0
18,324,25.0,135.10557004673092,206,25.0
19,361,25.0,145.2791209597706,213,25.0
20,400,25.0,155.58941141594505,220,25.0
21,441,36.0,166.02959858103716,227,25.0
22,484,36.0,176.59349209803696,234,25.0
23,529,36.0,187.27546498076035,241,25.0
24,576,36.0,198.07038003115395,248,25.0
25,625,49.0,208.9735285398626,255,25.0
26,676,49.0,219.9805788090031,262,36.0
27,729,49.0,231.08753260514456,269,36.0
28,784,49.0,242.29068807170322,276,36.0
29,841,64.0,253.58660794565924,283,36.0
30,900,64.0,264.97209216286,290,36.0
31,961,64.0,276.44415411958767,297,36.0
32,1024,64.0,288.0,304,36.0
33,1089,81.0,299.6370106898921,311,36.0
34,1156,81.0,311.3527258845208,318,36.0
35,1225,81.0,323.1448300675329,325,36.0
36,1296,81.0,335.0111400934618,332,36.0
37,1369,100.0,346.9495941508881,339,49.0
38,1444,100.0,358.95824191954125,346,49.0
39,1521,100.0,371.0352357641298,353,49.0
40,1600,100.0,383.1788228318901,360,49.0
41,1681,121.0,395.3873379408146,367,49.0
42,1764,121.0,407.6591971620743,374,49.0
43,1849,121.0,419.99289201394237,381,49.0
44,1936,121.0,432.3869841960739,388,49.0
45,2025,144.0,444.84010080270366,395,49.0
46,2116,144.0,457.3509299615207,402,49.0
47,2209,144.0,469.9182168519281,409,49.0
48,2304,144.0,482.5407600623079,416,49.0
49,2401,169.0,495.21740825096134,423,49.0
50,2500,169.0,507.9470570797252,430,64.0
51,2601,169.0,520.7286463929833,437,64.0
52,2704,169.0,533.5611576180062,444,64.0
53,2809,196.0,546.4436113653292,451,64.0
54,2916,196.0,559.3750652102891,458,64.0
55,3025,196.0,572.3546116389413,465,64.0
56,3136,196.0,585.3813761434064,472,64.0
57,3249,225.0,598.4545154533024,479,64.0
58,3364,225.0,611.5732158913185,486,64.0
59,3481,225.0,624.7366918422276,493,64.0
60,3600,225.0,637.94418432572,500,64.0
61,3721,256.0,651.194959664405,507,64.0
62,3844,256.0,664.4883082391754,514,64.0
63,3969,256.0,677.8235433248906,521,64.0
64,4096,256.0,691.2,528,64.0
65,4225,289.0,704.6170341243292,535,81.0
66,4356,289.0,718.0740213797843,542,81.0
67,4489,289.0,731.5703563692074,549,81.0
68,4624,289.0,745.1054517690416,556,81.0
69,4761,324.0,758.6787375318487,563,81.0
70,4900,324.0,772.2896601350658,570,81.0
71,5041,324.0,785.9376818726984,577,81.0
72,5184,324.0,799.6222801869236,584,81.0
73,5329,361.0,813.3429470368343,591,81.0
74,5476,361.0,827.0991883017762,598,81.0
75,5625,361.0,840.8905232169438,605,81.0
76,5776,361.0,854.7164838390825,612,81.0
77,5929,400.0,868.5766145403132,619,81.0
78,6084,400.0,882.4704715282597,626,81.0
79,6241,400.0,896.397622390784,633,81.0
80,6400,400.0,910.3576456637802,640,81.0
81,6561,441.0,924.3501304205782,647,81.0
82,6724,441.0,938.3746758816292,654,100.0
83,6889,441.0,952.4308910432306,661,100.0
84,7056,441.0,966.5183943241486,668,100.0
85,7225,484.0,980.6368132290684,675,100.0
86,7396,484.0,994.7857840278847,682,100.0
87,7569,484.0,1008.9649514499108,689,100.0
88,7744,484.0,1023.173968392148,696,100.0
89,7921,529.0,1037.412495640817,703,100.0
90,8100,529.0,1051.6802016054073,710,100.0
91,8281,529.0,1065.9767620645464,717,100.0
92,8464,529.0,1080.3018599230413,724,100.0
93,8649,576.0,1094.6551849794844,731,100.0
94,8836,576.0,1109.0364337038561,738,100.0
95,9025,576.0,1123.4453090245922,745,100.0
96,9216,576.0,1137.881520124616,752,100.0
97,9409,625.0,1152.3447822458725,759,100.0
98,9604,625.0,1166.8348165019227,766,100.0
99,9801,625.0,1181.3513496981866,773,100.0
100,10000,625.0,1195.8941141594503,780,100.0
101,10201,676.0,1210.4628475642762,787,121.0
102,10404,676.0,1225.0572927859664,794,121.0
103,10609,676.0,1239.6771977397686,801,121.0
104,10816,676.0,1254.3223152360124,808,121.0
105,11025,729.0,1268.9924028388973,815,121.0
106,11236,729.0,1283.6872227306585,822,121.0
107,11449,729.0,1298.4065415808611,829,121.0
108,11664,729.0,1313.1501304205783,836,121.0
109,11881,784.0,1327.9177645212328,843,121.0
110,12100,784.0,1342.7092232778825,850,121.0
111,12321,784.0,1357.5242900967514,857,121.0
112,12544,784.0,1372.3627522868128,864,121.0
