step,q1_discrete,q2_discrete
0,1.0,0.35
1,0.9445,0.261
2,0.88721,0.18667999999999998
3,0.8293008000000001,0.12505639999999998
4,0.7717106840000001,0.07437647199999999
5,0.7151801823200001,0.03309533855999998
6,0.6602824414336002,-0.00014521613120002362
7,0.6074496809897282,-0.026536183530176026
8,0.5569961736634377,-0.04711910507554051
9,0.5091381424150748,-0.06280227731150236
10,0.4640109316100637,-0.07437548418449502
11,0.42168377318834394,-0.08252335366306827
12,0.3821724365768617,-0.08783743507777247
13,0.3454500211952687,-0.09082709162995879
14,0.3114561230855501,-0.0919292996495753
15,0.2801045822632358,-0.09151744262205676
16,0.251289994698633,-0.08990918394549824
17,0.22489315224655748,-0.0873734979810738
18,0.20078555520815772,-0.08413693435358575
19,0.1788331253867541,-0.08038918575241005
20,0.1588992323531451,-0.07628802476254282
21,0.1408471320315155,-0.07196367058991263
22,0.12454190452770038,-0.06752264198858547
23,0.10985196722628338,-0.06305114829129152
24,0.0966502294677903,-0.05861806621956204
25,0.08481494647499774,-0.054277546127534965
26,0.07423032252807048,-0.05007128752867998
27,0.06478690659881724,-0.046030520175787605
28,0.056381817658606725,-0.04217772361513003
