row,kind,pair_index,bin1_1based,bin2_1based,bin1,bin2,theta_index,theta_arcmin,value
0,xip,0,1,1,src0,src0,0,0.7133649061081178,0.00012279839275859295
1,xip,0,1,1,src0,src0,1,1.4520956109204288,5.89558468690666e-06
2,xip,0,1,1,src0,src0,2,2.955824775230527,6.078472902444145e-05
3,xip,0,1,1,src0,src0,3,6.016752640915019,2.0782079637652266e-06
4,xip,0,1,1,src0,src0,4,12.247448713915889,-2.8745786273787123e-06
5,xip,0,1,1,src0,src0,5,24.930391683376275,-2.345647241236768e-06
6,xip,0,1,1,src0,src0,6,50.747257163882935,-1.539841208777652e-06
7,xip,0,1,1,src0,src0,7,103.29898311924559,1.585496887373776e-07
8,xip,0,1,1,src0,src0,8,210.27106704526622,-3.2357663528694647e-09
9,xip,1,1,2,src0,src1,0,0.7133649061081178,5.014202762537535e-05
10,xip,1,1,2,src0,src1,1,1.4520956109204288,2.7682934191193654e-05
11,xip,1,1,2,src0,src1,2,2.955824775230527,4.247206735281741e-06
12,xip,1,1,2,src0,src1,3,6.016752640915019,9.748763793992875e-06
13,xip,1,1,2,src0,src1,4,12.247448713915889,2.4351749544478204e-06
14,xip,1,1,2,src0,src1,5,24.930391683376275,8.660187992336153e-07
15,xip,1,1,2,src0,src1,6,50.747257163882935,1.9407659672982873e-06
16,xip,1,1,2,src0,src1,7,103.29898311924559,2.993317467105645e-07
17,xip,1,1,2,src0,src1,8,210.27106704526622,1.0545595452139844e-07
18,xip,2,1,3,src0,src2,0,0.7133649061081178,-2.9709922384269143e-05
19,xip,2,1,3,src0,src2,1,1.4520956109204288,3.774035083300963e-05
20,xip,2,1,3,src0,src2,2,2.955824775230527,1.965434718674053e-05
21,xip,2,1,3,src0,src2,3,6.016752640915019,4.517078516149383e-06
22,xip,2,1,3,src0,src2,4,12.247448713915889,-8.153602825527897e-07
23,xip,2,1,3,src0,src2,5,24.930391683376275,3.801635490978755e-07
24,xip,2,1,3,src0,src2,6,50.747257163882935,4.945363759623784e-07
25,xip,2,1,3,src0,src2,7,103.29898311924559,7.473724502846189e-07
26,xip,2,1,3,src0,src2,8,210.27106704526622,-1.7541677774245172e-07
27,xip,3,1,4,src0,src3,0,0.7133649061081178,8.533719251141137e-05
28,xip,3,1,4,src0,src3,1,1.4520956109204288,3.362056767267774e-05
29,xip,3,1,4,src0,src3,2,2.955824775230527,-5.6280016435817595e-06
30,xip,3,1,4,src0,src3,3,6.016752640915019,-2.8626832317904914e-06
31,xip,3,1,4,src0,src3,4,12.247448713915889,6.122089384515929e-06
32,xip,3,1,4,src0,src3,5,24.930391683376275,-4.087970396740601e-07
33,xip,3,1,4,src0,src3,6,50.747257163882935,9.935728270192369e-07
34,xip,3,1,4,src0,src3,7,103.29898311924559,1.2222983234095244e-07
35,xip,3,1,4,src0,src3,8,210.27106704526622,1.3656160250140074e-07
36,xip,4,1,5,src0,src4,0,0.7133649061081178,-3.830011743818028e-06
