model,seed,logZ,logZ_err,chi2_min_nested,ncall,prior_label,prior_config,run_family,source_file
cpl,101,-903.9325406753766,0.2501050878049083,1774.6227811071985,302770,medium,configs/nested_priors_medium.json,legacy_exact_pilot,cpl_seed101_medium_nested_evidence.json
cpl,202,-903.863417979516,0.24689405592029962,1774.5743134380468,303029,medium,configs/nested_priors_medium.json,legacy_exact_pilot,cpl_seed202_medium_nested_evidence.json
cpl,303,-903.7486787361507,0.2529632804736125,1774.6235968370368,299282,medium,configs/nested_priors_medium.json,legacy_exact_pilot,cpl_seed303_medium_nested_evidence.json
g1de1,101,-901.7512096841485,0.2421250719471866,1772.3898559984848,283522,medium,configs/nested_priors_medium.json,legacy_exact_pilot,g1de1_seed101_medium_nested_evidence.json
g1de1,202,-901.7102499720021,0.24251058662176758,1772.472981483932,280869,medium,configs/nested_priors_medium.json,legacy_exact_pilot,g1de1_seed202_medium_nested_evidence.json
g1de1,303,-901.7847293865402,0.2403579139441664,1772.4190464891108,283197,medium,configs/nested_priors_medium.json,legacy_exact_pilot,g1de1_seed303_medium_nested_evidence.json
g1de2,101,-900.9746598562722,0.2503015094488741,1767.402417164088,326810,medium,configs/nested_priors_medium.json,legacy_exact_pilot,g1de2_seed101_nested_evidence.json
g1de2,202,-901.1302266970329,0.2515361506463754,1767.3939806414198,330379,medium,configs/nested_priors_medium.json,legacy_exact_pilot,g1de2_seed202_nested_evidence.json
g1de2,303,-900.7554123624085,0.24568877424437913,1767.2986061555905,322177,medium,configs/nested_priors_medium.json,legacy_exact_pilot,g1de2_seed303_nested_evidence.json
g1deconstsig,101,-896.0045302339182,0.21527074825994946,1767.3460300499517,218488,medium,configs/nested_priors_medium.json,legacy_exact_pilot,g1deconstsig_seed101_medium_nested_evidence.json
g1deconstsig,202,-896.2348177967342,0.2158204145243586,1767.2073777116443,222611,medium,configs/nested_priors_medium.json,legacy_exact_pilot,g1deconstsig_seed202_medium_nested_evidence.json
g1deconstsig,303,-896.161046637311,0.21652381808816124,1767.327113739728,222199,medium,configs/nested_priors_medium.json,legacy_exact_pilot,g1deconstsig_seed303_medium_nested_evidence.json
g1dem34,101,-894.3026135994583,0.2030226712161007,1767.2198119194034,180075,medium,configs/nested_priors_medium.json,legacy_exact_pilot,g1dem34_seed101_medium_nested_evidence.json
g1dem34,202,-894.3575290081428,0.20331172010447038,1767.2396541655291,180434,medium,configs/nested_priors_medium.json,legacy_exact_pilot,g1dem34_seed202_medium_nested_evidence.json
g1dem34,303,-894.3664561915389,0.20463182010409614,1767.1839609001154,180986,medium,configs/nested_priors_medium.json,legacy_exact_pilot,g1dem34_seed303_medium_nested_evidence.json
g1demk,101,-895.1900464247378,0.2082318743796965,1767.2904795497732,202003,medium,configs/nested_priors_medium.json,legacy_exact_pilot,g1demk_seed101_medium_nested_evidence.json
g1demk,202,-895.0152056587299,0.20673030162321263,1767.2707185140378,199393,medium,configs/nested_priors_medium.json,legacy_exact_pilot,g1demk_seed202_medium_nested_evidence.json
g1demk,303,-894.9806448131052,0.2032878121771063,1767.2737334097994,200893,medium,configs/nested_priors_medium.json,legacy_exact_pilot,g1demk_seed303_medium_nested_evidence.json
lcdm,101,-906.1766565155352,0.21508448174686884,1789.1689639234332,190491,medium,configs/nested_priors_medium.json,legacy_exact_pilot,lcdm_seed101_nested_evidence.json
lcdm,202,-906.2979591018443,0.21637066009413572,1789.1566427735793,191902,medium,configs/nested_priors_medium.json,legacy_exact_pilot,lcdm_seed202_nested_evidence.json
lcdm,303,-906.1935324899918,0.21456824008581646,1789.1592031060534,193160,medium,configs/nested_priors_medium.json,legacy_exact_pilot,lcdm_seed303_nested_evidence.json
