sample,min_mu,min_Sigma,max_Xhat,physical_ok
0,1.134544981355722,1.0,0.9999963198357792,True
1,1.2240784700163538,1.0,0.9999950542587468,True
2,1.2762610329918727,1.0,0.9999995493476788,True
3,1.2408917211943293,1.0,0.999991953602089,True
4,1.3933373342444653,1.0,0.9999988573034891,True
5,1.1806594779929038,1.0,0.9999997447182013,True
6,1.0482517112147445,1.0,0.9999965929235993,True
7,1.3031447380600512,1.0,0.99999089749308,True
8,1.197525552106758,1.0,0.9999988932437762,True
9,1.0884439096659706,1.0,0.9999947310683984,True
10,1.104256754371386,1.0,0.9999955607699382,True
11,1.2708216485232726,1.0,0.9999999833575207,True
12,1.235576751677797,1.0,0.9999907815058151,True
13,1.250432476994022,1.0,0.9999933104147976,True
14,1.2272543514516874,1.0,0.9999963962629256,True
15,1.326880723796052,1.0,0.9999981292637348,True
16,1.1958630607906313,1.0,0.9999994476295176,True
17,1.202159584501318,1.0,0.9999916104446122,True
18,1.078694671358017,1.0,0.9999975219425121,True
19,1.281075862289419,1.0,0.9999974777039896,True
20,1.1031075118372058,1.0,0.9999968946120743,True
21,1.1698687053960803,1.0,0.999999922150939,True
22,1.0655429069803921,1.0,0.9999984631702611,True
23,1.3209461068147759,1.0,0.9999998151324289,True
24,1.3219207286650136,1.0,0.9999980989027218,True
25,1.0127820627525788,1.0,0.9999931917650284,True
26,1.2765641970017205,1.0,0.9999994725751057,True
27,1.3147521309819536,1.0,0.999996730655501,True
28,1.3341851316910418,1.0,0.9999991528674362,True
29,1.1295070649433772,1.0,0.9999943463597153,True
30,1.2541222769190161,1.0,0.9999942768171886,True
31,1.050452621247209,1.0,0.9999995570401304,True
32,1.4401543436496178,1.0,0.9999997627890421,True
33,1.076923469197801,1.0,0.9999999997067562,True
34,1.0226949724774868,1.0,0.9999931064800013,True
35,1.1913800618519246,1.0,0.9999967447905845,True
36,1.221946553117105,1.0,0.9999997969011881,True
37,1.19119763119098,1.0,0.9999977469152526,True
38,1.0454849648579714,1.0,0.9999924507902674,True
39,1.320736568393421,1.0,0.9999954377502824,True
40,1.2284902532430577,1.0,0.9999976588120035,True
41,1.119877720084748,1.0,0.9999993032701506,True
42,1.0750252882287334,1.0,0.9999957783840174,True
43,1.1125427410024762,1.0,0.9999931931687882,True
44,1.090272462002357,1.0,0.9999963113966146,True
45,1.266340493597958,1.0,0.9999999349118386,True
46,1.2801843755173627,1.0,0.9999905189269755,True
47,1.011171355745686,1.0,0.9999917195730353,True
48,1.134544981355722,1.0,0.9999963198357792,True
49,1.2226068226115998,1.0,0.9999915225872062,True
50,1.2762610329918727,1.0,0.9999995493476788,True
51,1.2701266414785213,1.0,0.9999929038623337,True
52,1.3831241028074976,1.0,0.9999964662677344,True
53,1.1806594779929038,1.0,0.9999997447182013,True
54,1.0482517112147445,1.0,0.9999965929235993,True
55,1.2936573828109106,1.0,0.9999973152288538,True
56,1.192821961741525,1.0,0.9999999990706913,True
57,1.169663096116406,1.0,0.9999956754663633,True
58,1.104256754371386,1.0,0.9999955607699382,True
59,1.3111996513904804,1.0,0.999994466317837,True
60,1.235576751677797,1.0,0.9999907815058151,True
61,1.487780439356949,1.0,0.9999982848158679,True
62,1.1804559270779484,1.0,0.9999926907028502,True
63,1.326880723796052,1.0,0.9999981292637348,True
64,1.2350043515660176,1.0,0.9999916579229166,True
65,1.202159584501318,1.0,0.9999916104446122,True
66,1.0772849950029488,1.0,0.99999090479351,True
67,1.281075862289419,1.0,0.9999974777039896,True
68,1.1031075118372058,1.0,0.9999968946120743,True
69,1.1698687053960803,1.0,0.999999922150939,True
70,1.0655429069803921,1.0,0.9999984631702611,True
71,1.3195529635451078,1.0,0.9999999994573189,True
72,1.3219207286650136,1.0,0.9999980989027218,True
73,1.0127820627525788,1.0,0.9999931917650284,True
74,1.295793852881546,1.0,0.9999952718353369,True
75,1.3013154281262962,1.0,0.9999998000254028,True
76,1.3341851316910418,1.0,0.9999991528674362,True
77,1.1295070649433772,1.0,0.9999943463597153,True
78,1.2471248079574255,1.0,0.9999923444611166,True
79,1.0661583428009243,1.0,0.9999999828240447,True
80,1.4015841931524542,1.0,0.9999932594432505,True
81,1.041277967464719,1.0,0.9999999522523061,True
82,1.0226949724774868,1.0,0.9999931064800013,True
83,1.162271649921901,1.0,0.9999973730320618,True
84,1.194924541119236,1.0,0.999999238480403,True
85,1.1597227241478039,1.0,0.9999968487073075,True
86,1.0454849648579714,1.0,0.9999924507902674,True
87,1.320736568393421,1.0,0.9999954377502824,True
88,1.2284902532430577,1.0,0.9999976588120035,True
89,1.119877720084748,1.0,0.9999993032701506,True
90,0.9303996192617983,1.0,0.9999991085729328,True
91,1.1125427410024762,1.0,0.9999931931687882,True
92,1.099670398995157,1.0,0.9999953619996131,True
93,1.281817761693047,1.0,0.9999971401468167,True
94,1.2912013629362389,1.0,0.9999981980847565,True
95,0.933347016581784,1.0,0.9999894076147181,True
96,1.134544981355722,1.0,0.9999963198357792,True
97,1.2226068226115998,1.0,0.9999915225872062,True
98,1.2297026565412503,1.0,0.9999928528345325,True
99,1.2674278795275016,1.0,0.999994427020726,True
100,1.3724058865230693,1.0,0.9999999999236113,True
101,1.1806594779929038,1.0,0.9999997447182013,True
102,1.0479584019975274,1.0,0.9999986890465847,True
103,1.2936573828109106,1.0,0.9999973152288538,True
104,1.192821961741525,1.0,0.9999999990706913,True
105,1.169663096116406,1.0,0.9999956754663633,True
106,1.104256754371386,1.0,0.9999955607699382,True
107,1.3404395837181307,1.0,0.9999999886228885,True
108,1.235576751677797,1.0,0.9999907815058151,True
109,1.487780439356949,1.0,0.9999982848158679,True
110,1.1739978682747114,1.0,0.9999918332244578,True
111,1.326880723796052,1.0,0.9999981292637348,True
112,1.2648062334000518,1.0,0.99999399742243,True
113,1.1938052078353891,1.0,0.9999997420925737,True
114,1.10839347573115,1.0,0.9999993168401115,True
115,1.2639866166053162,1.0,0.9999943960777274,True
116,1.0363409236429395,1.0,0.9999981864249662,True
117,1.1698687053960803,1.0,0.999999922150939,True
118,1.0764128132185782,1.0,0.999999864486727,True
119,1.3531578020693655,1.0,0.9999989467639772,True
120,1.3879430255653586,1.0,0.999998809579208,True
121,1.0127820627525788,1.0,0.9999931917650284,True
122,1.295793852881546,1.0,0.9999952718353369,True
123,1.2989293610554606,1.0,0.9999999657900254,True
124,1.3195212714874422,1.0,0.9999986050442748,True
125,1.0841631642333405,1.0,0.9999956551975495,True
126,1.2461284926168341,1.0,0.9999900733184854,True
127,1.0828447058852966,1.0,0.9999963313502954,True
128,1.4015841931524542,1.0,0.9999932594432505,True
129,1.0392574734237727,1.0,0.9999995566913785,True
130,1.0226949724774868,1.0,0.9999931064800013,True
131,1.1603463416753121,1.0,0.9999913878970249,True
132,1.1938121321453576,1.0,0.9999992202848945,True
133,0.9883102669863568,1.0,0.9999999422405699,True
134,1.0454849648579714,1.0,0.9999924507902674,True
135,1.320736568393421,1.0,0.9999954377502824,True
136,1.2284902532430577,1.0,0.9999976588120035,True
137,1.1670192249657116,1.0,0.9999998409334235,True
138,0.9303996192617983,1.0,0.9999991085729328,True
139,1.1125427410024762,1.0,0.9999931931687882,True
140,1.099670398995157,1.0,0.9999953619996131,True
141,1.2612900574728911,1.0,0.9999968441187456,True
142,1.263044011463363,1.0,0.9999999870041256,True
143,1.0489214339401953,1.0,0.9999979418243814,True
144,1.1743415166042148,1.0,0.9999997753184422,True
145,1.216111837615647,1.0,0.999999990121909,True
146,1.2297026565412503,1.0,0.9999928528345325,True
147,1.3712415837846228,1.0,0.9999944006712741,True
148,1.3724058865230693,1.0,0.9999999999236113,True
149,1.1746603084382725,1.0,0.9999967259116271,True
150,1.1224353079118912,1.0,0.999990879989026,True
151,1.2838280131097897,1.0,0.9999926557693702,True
152,1.192821961741525,1.0,0.9999999990706913,True
153,1.169663096116406,1.0,0.9999956754663633,True
154,1.1007923269834772,1.0,0.9999984736975053,True
155,1.3404395837181307,1.0,0.9999999886228885,True
156,1.231374836160875,1.0,0.9999999903942914,True
157,1.487780439356949,1.0,0.9999982848158679,True
158,1.133197397696207,1.0,0.9999991678801449,True
159,1.3803611350615206,1.0,0.99999455417858,True
160,1.2648062334000518,1.0,0.99999399742243,True
161,1.1938052078353891,1.0,0.9999997420925737,True
162,1.10839347573115,1.0,0.9999993168401115,True
163,1.2684413555266418,1.0,0.9999926036478535,True
164,1.0278405002805817,1.0,0.999990192092066,True
165,1.1750259772671274,1.0,0.9999929631017201,True
166,1.0764128132185782,1.0,0.999999864486727,True
167,1.3531578020693655,1.0,0.9999989467639772,True
168,1.3812240170819754,1.0,0.9999999104909003,True
169,1.0802122086522066,1.0,0.9999999604271774,True
170,1.4007671429745114,1.0,0.9999948934235615,True
171,1.2989293610554606,1.0,0.9999999657900254,True
172,1.3195212714874422,1.0,0.9999986050442748,True
173,1.0841631642333405,1.0,0.9999956551975495,True
174,1.2461284926168341,1.0,0.9999900733184854,True
175,1.0828447058852966,1.0,0.9999963313502954,True
176,1.2970450406452902,1.0,0.9999918414853072,True
177,1.1330686187354613,1.0,0.9999972494517674,True
178,1.0106853494132957,1.0,0.9999999919699989,True
179,1.152595777554472,1.0,0.9999918090215487,True
180,1.1938121321453576,1.0,0.9999992202848945,True
181,1.0345012173936967,1.0,0.9999930425303318,True
182,1.054045587612998,1.0,0.9999989323865234,True
183,1.320736568393421,1.0,0.9999954377502824,True
184,1.2284902532430577,1.0,0.9999976588120035,True
185,1.1670192249657116,1.0,0.9999998409334235,True
186,0.9303996192617983,1.0,0.9999991085729328,True
187,1.0226412031107426,1.0,0.9999965533527384,True
188,1.099670398995157,1.0,0.9999953619996131,True
189,1.2612900574728911,1.0,0.9999968441187456,True
190,1.2638417901603383,1.0,0.9999999990962247,True
191,1.063867365145298,1.0,0.9999949934476265,True
192,1.1743415166042148,1.0,0.9999997753184422,True
193,1.1855309438642756,1.0,0.9999991208108633,True
194,1.1761029683991924,1.0,0.9999994112906814,True
195,1.3713229240089904,1.0,0.9999951557559694,True
196,1.3724058865230693,1.0,0.9999999999236113,True
