z_raw,fsigma8,sigma,Omega_m_fid,z,index
0.02003,0.428,0.0465,0.3,0.02,39
0.10001,0.376,0.038,0.282,0.1,56
0.3,0.407,0.055,0.25,0.3,13
0.37,0.4602,0.0378,0.25,0.37,6
0.44,0.413,0.08,0.27,0.44,9
0.57001,0.426,0.029,0.31,0.57,37
0.6,0.39,0.063,0.27,0.6,10
0.61,0.436,0.034,0.31,0.61,30
0.73,0.437,0.072,0.27,0.73,11
0.8,0.47,0.08,0.25,0.8,17
0.978,0.379,0.176,0.31,0.978,59
1.05,0.28,0.08,0.308,1.05,35
1.23,0.385,0.099,0.31,1.23,60
1.4,0.482,0.116,0.27,1.4,26
1.526,0.342,0.07,0.31,1.526,61
1.944,0.364,0.106,0.31,1.944,62
