z,mu,mu_err
0.00122,28.9987,1.51621
0.00122,29.0559,1.51723
0.00256,30.7233,0.781906
0.00256,30.7449,0.798612
0.00299,30.7757,0.880798
0.00317,30.7946,0.613941
0.00331,30.4604,0.59407
0.00331,30.5528,0.579622
0.00331,30.4013,0.577815
0.00331,30.5107,0.577916
0.00333,31.5011,0.590389
0.00349,31.7933,0.55206
0.00349,31.4967,0.544824
0.00359,31.6969,0.550332
0.00384,30.9999,0.565861
0.00407,31.3933,0.475638
0.00407,31.3779,0.478515
0.00432,31.499,0.513549
0.00432,31.5611,0.530151
0.00465,31.9309,0.441191
0.00465,32.033,0.419535
0.00482,31.2476,0.557951
0.00483,31.1331,0.446066
0.00483,31.6525,0.564078
0.00483,31.2234,0.409689
0.00483,31.34,0.561941
0.00483,31.7635,0.573808
0.00488,31.4473,0.44745
0.00488,31.539,0.406132
0.00538,31.6512,0.513692
0.00548,31.7282,0.500704
0.0057,31.9117,0.468851
0.0057,31.8985,0.482914
0.00571,31.6799,0.374942
0.00571,31.6292,0.38481
0.00587,31.7403,0.490624
0.00588,32.1822,0.338568
0.00592,32.4685,0.486307
0.00602,31.9404,0.343274
0.00602,32.0666,0.342645
0.00602,31.9102,0.349206
0.00616,30.9079,0.524297
0.00616,31.1857,0.451429
0.00625,32.0667,0.32481
0.00625,32.0023,0.36055
0.00625,32.0999,0.32168
0.00625,32.0337,0.33809
0.0063,32.0754,0.533308
0.0063,32.0843,0.536656
0.0063,32.0203,0.537482
0.00631,32.8333,0.562254
0.00634,32.4001,0.481811
0.00648,32.4608,0.317328
0.00648,32.4338,0.321157
0.00665,31.7321,0.530482
0.00668,31.2217,0.419839
0.00673,32.3593,0.358431
0.00676,31.9733,0.414586
0.00677,32.1951,0.339458
0.00677,32.1729,0.370142
0.00677,32.2048,0.3469
0.00692,32.4405,0.438804
0.0071,32.3193,0.324465
0.0071,32.3327,0.347269
0.0071,32.3221,0.321523
0.00719,32.4423,0.299093
0.00719,32.4642,0.299053
0.00747,32.7943,0.28787
0.00747,32.7423,0.29352
0.00747,32.7685,0.291161
0.0075,32.3312,0.372866
0.0075,32.2998,0.395732
0.00795,32.6418,0.361712
0.00814,32.7164,0.315879
0.00814,32.6151,0.316306
0.00814,32.7092,0.366561
0.00815,32.3711,0.370944
0.00815,32.7434,0.278844
0.00815,32.6707,0.285702
0.00817,32.4455,0.490044
0.00818,32.484,0.341596
0.00821,33.2138,0.462045
0.00838,32.521,0.464828
0.00838,32.6922,0.484113
0.00855,32.6928,0.358202
0.00855,32.852,0.316884
0.00857,32.7527,0.266214
0.00861,32.7223,0.382481
0.00863,32.3744,0.337245
0.00863,32.3945,0.330194
0.00863,32.335,0.336798
0.00864,32.4198,0.42436
0.00883,32.8616,0.325919
0.00906,32.799,0.36787
0.00906,32.7498,0.408634
0.00925,32.8914,0.28515
0.00925,32.8973,0.281576
0.00925,32.9159,0.284225
0.00935,32.3353,0.400458
0.00954,33.0399,0.267622
0.00954,33.2135,0.252188
0.00954,33.2309,0.250455
0.00954,33.2469,0.253451
0.00957,32.901,0.308368
0.00957,32.8654,0.333397
0.00966,32.8029,0.35687
0.00966,32.9165,0.371852
0.00993,33.4753,0.3719
0.00996,32.6457,0.408196
0.00996,32.7458,0.359283
0.00996,32.9015,0.332913
0.01016,32.7794,0.3475
0.01017,32.9182,0.364224
0.01017,32.9674,0.34081
0.01026,33.3378,0.305101
0.01026,33.2253,0.297865
0.01028,33.2788,0.246478
0.01042,33.1236,0.316076
0.01044,33.0869,0.342855
0.01061,33.3806,0.307827
0.01061,33.2931,0.273239
0.01073,33.1081,0.363667
0.01079,33.0683,0.322889
0.01079,33.1809,0.377003
0.01096,33.5709,0.313698
0.01114,33.7337,0.341421
0.01114,33.6369,0.293983
0.01122,33.8347,0.352878
0.01122,33.4336,0.282135
