model,seed,nlive,logZ,logZ_err,ncall,eff,final_dlogz
lcdm,101,1000,-906.350,0.129,278593,18.43,0.000
lcdm,202,1000,-906.353,0.129,276986,18.39,0.000
lcdm,303,1000,-906.270,0.129,275793,17.92,0.000
lcdm,404,1000,-906.196,0.129,270448,17.91,0.000
lcdm,505,1000,-906.216,0.129,282356,18.13,0.000
lcdm,606,1000,-906.175,0.128,277947,18.43,0.000
lcdm,707,1000,-906.227,0.128,268009,17.89,0.000
lcdm,808,1000,-906.106,0.128,275945,18.45,0.000
g1dem34,101,800,-894.525,0.135,214072,18.35,0.000
g1dem34,202,800,-894.464,0.135,208184,18.18,0.000
g1dem34,303,800,-894.364,0.134,212566,18.04,0.000
g1dem34,404,800,-894.132,0.131,216467,18.14,0.000
g1dem34,505,800,-894.254,0.134,210537,18.02,0.000
g1dem34,606,800,-894.316,0.132,217822,18.23,0.000
g1dem34,707,800,-894.333,0.132,209133,18.09,0.000
g1dem34,808,800,-894.401,0.133,205904,17.93,0.000
g1demk,101,800,-895.361,0.137,236712,18.26,0.000
g1demk,202,800,-895.320,0.136,231994,18.17,0.000
g1demk,303,800,-895.243,0.135,239871,18.36,0.000
g1demk,404,800,-895.005,0.135,238983,18.25,0.000
g1demk,505,800,-895.199,0.136,237565,18.27,0.000
g1demk,606,800,-895.108,0.136,236857,18.38,0.000
g1demk,707,800,-895.218,0.135,230416,17.52,0.000
g1demk,808,800,-895.119,0.135,235385,18.45,0.000
g1deconstsig,101,800,-896.171,0.142,256234,18.38,0.000
g1deconstsig,202,800,-896.200,0.142,251376,18.33,0.000
g1deconstsig,303,800,-896.073,0.142,254087,18.08,0.000
g1deconstsig,404,800,-895.968,0.141,252984,18.36,0.000
g1deconstsig,505,800,-896.119,0.142,255629,18.28,0.000
g1deconstsig,606,800,-896.134,0.142,252715,18.18,0.000
g1deconstsig,707,800,-896.116,0.142,253884,18.21,0.000
g1deconstsig,808,800,-896.138,0.142,260139,18.22,0.000
cpl,101,1000,-903.917,0.150,421392,20.86,0.000
cpl,202,1000,-903.874,0.149,410729,20.11,0.000
cpl,303,1000,-903.830,0.149,419329,19.95,0.000
cpl,404,1000,-903.869,0.149,424385,20.14,0.000
cpl,505,1000,-904.141,0.150,414377,20.09,0.000
cpl,606,1000,-904.088,0.150,416983,20.22,0.000
cpl,707,1000,-903.885,0.150,412823,20.07,0.000
cpl,808,1000,-904.015,0.150,418735,20.15,0.000
g1de1,101,1000,-901.818,0.145,393127,20.92,0.000
g1de1,202,1000,-902.091,0.144,387204,20.38,0.000
g1de1,303,1000,-901.722,0.144,395613,20.65,0.000
g1de1,404,1000,-901.532,0.145,394001,20.42,0.000
g1de1,505,1000,-901.870,0.145,390625,20.44,0.000
g1de1,606,1000,-901.681,0.145,393652,20.55,0.000
g1de1,707,1000,-901.845,0.146,389274,20.45,0.000
g1de1,808,1000,-901.646,0.144,397541,20.53,0.000
g1de2,101,1000,-900.995,0.150,454639,20.93,0.000
g1de2,202,1000,-900.633,0.149,447289,20.81,0.000
g1de2,303,1000,-900.745,0.149,456336,20.93,0.000
g1de2,404,1000,-901.240,0.150,449816,20.83,0.000
g1de2,505,1000,-900.805,0.150,452660,20.87,0.000
g1de2,606,1000,-900.816,0.150,455539,20.79,0.000
g1de2,707,1000,-900.879,0.150,448663,20.80,0.000
g1de2,808,1000,-900.862,0.150,449285,20.86,0.000
