redundancy_fragments,H_ZF_bits,I_unlimited_bits,mismatch_unlimited_bits,C_W_bits,record_availability_horizon_definition,I_capped_bits,mismatch_capped_bits,fano_binary_error_lower_proxy
0,0.8812908992306927,0.0,0.8812908992306927,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.0,0.8812908992306927,0.30000000647714614
1,0.8812908992306927,0.17403838612480543,0.7072525131058872,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.17403838612480543,0.7072525131058873,0.19278077886749082
2,0.8812908992306927,0.3137074625570139,0.5675834366736787,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.3137074625570139,0.5675834366736787,0.13373138702868212
3,0.8812908992306927,0.4257945218879196,0.4554963773427731,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.4257945218879196,0.4554963773427731,0.09578692999899367
4,0.8812908992306927,0.5157464940093069,0.36554440522138587,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.5157464940093069,0.36554440522138576,0.06989841081271085
5,0.8812908992306927,0.5879346425505171,0.2933562566801757,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.55,0.33129089923069266,0.0609718879105192
6,0.8812908992306927,0.6458669887449459,0.23542391048574687,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.55,0.33129089923069266,0.0609718879105192
7,0.8812908992306927,0.6923587855760449,0.18893211365464774,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.55,0.33129089923069266,0.0609718879105192
8,0.8812908992306927,0.7296693264840545,0.1516215727466383,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.55,0.33129089923069266,0.0609718879105192
9,0.8812908992306927,0.75961173692488,0.12167916230581265,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.55,0.33129089923069266,0.0609718879105192
10,0.8812908992306927,0.7836410841599506,0.09764981507074207,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.55,0.33129089923069266,0.0609718879105192
11,0.8812908992306927,0.8029250870188624,0.07836581221183025,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.55,0.33129089923069266,0.0609718879105192
12,0.8812908992306927,0.8184008618131013,0.06289003741759132,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.55,0.33129089923069266,0.0609718879105192
13,0.8812908992306927,0.830820461998512,0.05047043723218069,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.55,0.33129089923069266,0.0609718879105192
14,0.8812908992306927,0.8407874246104824,0.04050347462021036,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.55,0.33129089923069266,0.0609718879105192
15,0.8812908992306927,0.8487860994651778,0.032504799765514986,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.55,0.33129089923069266,0.0609718879105192
16,0.8812908992306927,0.8552051863948605,0.02608571283583213,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.55,0.33129089923069266,0.0609718879105192
17,0.8812908992306927,0.8603566243216864,0.020934274909006394,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.55,0.33129089923069266,0.0609718879105192
18,0.8812908992306927,0.8644907500945008,0.016800149136191888,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.55,0.33129089923069266,0.0609718879105192
19,0.8812908992306927,0.8678084637403256,0.013482435490367088,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.55,0.33129089923069266,0.0609718879105192
20,0.8812908992306927,0.8704709913073566,0.010819907923336048,0.55,tau_RAH = inf{t: I_2(Z_internal;Z_external(t)) >= H_2(Z_internal)-epsilon},0.55,0.33129089923069266,0.0609718879105192
